ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/nagash_vanilla_ancs	
wh2_dlc09_anc_arcane_item_blue_khepra	nag_nagash
wh2_dlc09_anc_arcane_item_enkhils_kanopi	nag_nagash
wh2_dlc09_anc_arcane_item_neferras_scrolls_of_mighty_incantations	nag_nagash
wh2_dlc09_anc_armour_armour_of_eternity	nag_nagash
wh2_dlc09_anc_armour_scorpion_armour	nag_nagash
wh2_dlc09_anc_enchanted_item_brooch_of_the_great_desert	nag_nagash
wh2_dlc09_anc_enchanted_item_cloak_of_the_dunes	nag_nagash
wh2_dlc09_anc_enchanted_item_elixir_of_might	nag_nagash
wh2_dlc09_anc_enchanted_item_golden_deathmask_of_kharnut	nag_nagash
wh2_dlc09_anc_enchanted_item_hieratic_jar	nag_nagash
wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun	nag_nagash
wh2_dlc09_anc_magic_standard_banner_of_the_hidden_dead	nag_nagash
wh2_dlc09_anc_magic_standard_standard_of_the_undying_legion	nag_nagash
wh2_dlc09_anc_talisman_amulet_of_pha_stah	nag_nagash
wh2_dlc09_anc_talisman_golden_ankhra	nag_nagash
wh2_dlc09_anc_talisman_golden_eye_of_rah_nutt	nag_nagash
wh2_dlc09_anc_weapon_blade_of_antarhak	nag_nagash
wh2_dlc09_anc_weapon_blade_of_mourning_fire	nag_nagash
wh2_dlc09_anc_weapon_blade_of_setep	nag_nagash
wh2_dlc09_anc_weapon_crook_and_flail_of_radiance	nag_nagash
wh2_dlc09_anc_weapon_destroyer_of_eternities	nag_nagash
wh2_dlc10_anc_arcane_item_scroll_of_blast	nag_nagash
wh2_dlc10_anc_arcane_item_scroll_of_speed_of_lykos	nag_nagash
wh2_dlc11_anc_armour_armour_of_the_depth	nag_nagash
wh2_dlc11_anc_armour_seadragon_buckler	nag_nagash
wh2_dlc11_anc_enchanted_item_black_buckthorns_treasure_map	nag_nagash
wh2_dlc11_anc_enchanted_item_moonshine	nag_nagash
wh2_dlc11_anc_enchanted_item_pyrotechnic_compound	nag_nagash
wh2_dlc11_anc_magic_standard_bloodied_banner_of_slayers	nag_nagash
wh2_dlc11_anc_magic_standard_boatswain	nag_nagash
wh2_dlc11_anc_magic_standard_burnt_banner_of_knights	nag_nagash
wh2_dlc11_anc_magic_standard_corpse_surgeon	nag_nagash
wh2_dlc11_anc_magic_standard_dead_mans_chest	nag_nagash
wh2_dlc11_anc_magic_standard_holed_banner_of_militia	nag_nagash
wh2_dlc11_anc_magic_standard_rookie_gunner	nag_nagash
wh2_dlc11_anc_magic_standard_ships_colors	nag_nagash
wh2_dlc11_anc_magic_standard_skull_and_crossbones	nag_nagash
wh2_dlc11_anc_magic_standard_spell_of_the_necromancers_apprentice	nag_nagash
wh2_dlc11_anc_magic_standard_throwing_bombs	nag_nagash
wh2_dlc11_anc_magic_standard_torn_banner_of_pilgrims	nag_nagash
wh2_dlc11_anc_talisman_blackpearl_eye	nag_nagash
wh2_dlc11_anc_talisman_jellyfish_in_a_jar	nag_nagash
wh2_dlc11_anc_talisman_kraken_fang	nag_nagash
wh2_dlc11_anc_weapon_lucky_levis_hookhand	nag_nagash
wh_main_anc_arcane_item_black_periapt	nag_nagash
wh_main_anc_arcane_item_book_of_arkhan	nag_nagash
wh_main_anc_arcane_item_book_of_ashur	nag_nagash
wh_main_anc_arcane_item_channelling_staff	nag_nagash
wh_main_anc_arcane_item_earthing_rod	nag_nagash
wh_main_anc_arcane_item_forbidden_rod	nag_nagash
wh_main_anc_arcane_item_power_scroll	nag_nagash
wh_main_anc_arcane_item_power_stone	nag_nagash
wh_main_anc_arcane_item_sceptre_of_stability	nag_nagash
wh_main_anc_arcane_item_scroll_of_leeching	nag_nagash
wh_main_anc_arcane_item_staff_of_damnation	nag_nagash
wh_main_anc_arcane_item_tricksters_shard	nag_nagash
wh_main_anc_arcane_item_wand_of_jet	nag_nagash
wh_main_anc_armour_nightshroud	nag_nagash
wh_main_anc_enchanted_item_rod_of_flaming_death	nag_nagash
wh_main_anc_magic_standard_banner_of_the_barrows	nag_nagash
wh_main_anc_magic_standard_the_screaming_banner	nag_nagash
wh_main_anc_weapon_skabscrath	nag_nagash
