id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/jvj_nagash_buildings			
2106160	5	nag_morghasts	nag_morghasts
2106161	10	nag_vanilla_vmp_cav_blood_knights_0	nag_vanilla_vmp_cav_blood_knights_0
2106162	10	nag_vanilla_tmb_mon_khemrian_warsphinx_0	nag_vanilla_tmb_mon_khemrian_warsphinx_0
2106163	10	nag_vanilla_tmb_mon_necrosphinx_0	nag_vanilla_tmb_mon_necrosphinx_0
2106164	10	nag_vanilla_cst_mon_necrofex_colossus_0	nag_vanilla_cst_mon_necrofex_colossus_0
2106165	10	nag_vanilla_cst_inf_depth_guard_0	nag_vanilla_cst_inf_depth_guard_0
2106166	15	nag_revenants	nag_revenants
2106167	20	nag_vanilla_tmb_mon_bone_giant_0	nag_vanilla_tmb_mon_bone_giant_0
2106168	30	nag_vanilla_tmb_mon_tomb_scorpion_0	nag_vanilla_tmb_mon_tomb_scorpion_0
2106169	40	nag_bone_golems	nag_bone_golems
2106170	50	nag_vanilla_tmb_mon_ushabti_0	nag_vanilla_tmb_mon_ushabti_0
2106171	60	nag_vanilla_tmb_mon_ushabti_1	nag_vanilla_tmb_mon_ushabti_1
2106172	70	nag_nagashi_guard_halb	nag_nagashi_guard_halb
2106173	80	nag_nagashi_guard	nag_nagashi_guard
2106174	90	nag_vanilla_tmb_inf_tomb_guard_1	nag_vanilla_tmb_inf_tomb_guard_1
2106175	100	nag_vanilla_tmb_inf_tomb_guard_0	nag_vanilla_tmb_inf_tomb_guard_0
2106176	90	nag_vanilla_vmp_inf_grave_guard_1	nag_vanilla_vmp_inf_grave_guard_1
2106177	100	nag_vanilla_vmp_inf_grave_guard_0	nag_vanilla_vmp_inf_grave_guard_0
2106178	110	nag_vanilla_tmb_art_casket_of_souls_0	nag_vanilla_tmb_art_casket_of_souls_0
2106179	110	nag_vanilla_cst_art_carronade	nag_vanilla_cst_art_carronade
2106180	120	nag_bone_thrower	nag_bone_thrower
2106181	130	nag_vanilla_cst_inf_deck_gunners_0	nag_vanilla_cst_inf_deck_gunners_0
2106182	140	nag_vanilla_cst_inf_zombie_gunnery_mob_1	nag_vanilla_cst_inf_zombie_gunnery_mob_1
2106183	150	nag_vanilla_cst_inf_zombie_gunnery_mob_0	nag_vanilla_cst_inf_zombie_gunnery_mob_0
2106184	160	nag_vanilla_tmb_inf_skeleton_archers_0	nag_vanilla_tmb_inf_skeleton_archers_0
2106185	180	nag_carrion_riders	nag_carrion_riders
2106186	190	nag_vanilla_tmb_cav_necropolis_knights_1	nag_vanilla_tmb_cav_necropolis_knights_1
2106187	200	nag_vanilla_tmb_cav_necropolis_knights_0	nag_vanilla_tmb_cav_necropolis_knights_0
2106188	210	nag_vanilla_vmp_cav_hexwraiths	nag_vanilla_vmp_cav_hexwraiths
2106189	220	nag_vanilla_vmp_cav_black_knights_0	nag_vanilla_vmp_cav_black_knights_0
2106190	240	nag_vanilla_tmb_inf_nehekhara_warriors_0	nag_vanilla_tmb_inf_nehekhara_warriors_0
2106191	250	nag_vanilla_vmp_inf_cairn_wraiths	nag_vanilla_vmp_inf_cairn_wraiths
2106192	260	nag_vanilla_vmp_inf_crypt_ghouls	nag_vanilla_vmp_inf_crypt_ghouls
2106193	270	nag_vanilla_vmp_mon_fell_bats	nag_vanilla_vmp_mon_fell_bats
2106194	280	nag_vanilla_cst_inf_zombie_deckhands_mob_1	nag_vanilla_cst_inf_zombie_deckhands_mob_1
2106195	290	nag_vanilla_cst_inf_zombie_deckhands_mob_0	nag_vanilla_cst_inf_zombie_deckhands_mob_0
2106196	300	nag_vanilla_vmp_inf_skeleton_warriors_1	nag_vanilla_vmp_inf_skeleton_warriors_1
2106197	310	nag_vanilla_vmp_inf_skeleton_warriors_0	nag_vanilla_vmp_inf_skeleton_warriors_0
2106198	300	nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_vanilla_tmb_inf_skeleton_spearmen_0
2106199	310	nag_vanilla_tmb_inf_skeleton_warriors_0	nag_vanilla_tmb_inf_skeleton_warriors_0
2106200	320	nag_vanilla_vmp_inf_zombie	nag_vanilla_vmp_inf_zombie
2106201	400	nag_vanilla_cst_mon_bloated_corpse_0	nag_vanilla_cst_mon_bloated_corpse_0
