key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/rhox_nagash_animation	
hu1_nagash_staff_and_sword	humanoid01
wm_mortisengine01_centered	mortisengine01
wm_mortisengine01_minus_5	mortisengine01
wm_mortisengine01_magnified	mortisengine01
wm_mortisengine01_magnified_reversed	mortisengine01
wm_mortisengine01_centered_dynamic	mortisengine01
wm_mortisengine01_minus_5_green	mortisengine01
wm_mortisengine01_magnified_green	mortisengine01
wm_mortisengine01_magnified_reversed_green	mortisengine01
wm_corpsecart01_virion	corpsecart01
hu4e_nag_bone_colossus	humanoid04e
gh1_nag_revenants	ghost01
hu1_nag_boss_nagash	humanoid01
mortisengine01_nag_spirit_host	mortisengine01
hu12m_morghast_dual_axe	humanoid12m
