building_chains_tables	6
key	tech_category_tab	encyclopedia_group	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander
nag_settlement_cavalry			military	false	nag_sch_settlement_cavalry		2	
nag_settlement_chariots			military	false	nag_sch_settlement_chariots		0	
nag_settlement_citadel			military	false	nag_sch_settlement_citadel		13	
nag_settlement_defence_major			military	false	nag_sch_settlement_defence_major		9	
nag_settlement_estate			money	false	nag_sch_settlement_estate		14	
nag_settlement_growth			money	false	nag_sch_settlement_growth		11	
nag_settlement_hierotitan			military	false	nag_sch_settlement_hierotitan		8	
nag_settlement_income			money	false	nag_sch_settlement_income		12	
nag_settlement_infantry			military	false	nag_sch_settlement_infantry		1	
nag_settlement_necrosphinx			military	false	nag_sch_settlement_necrosphinx		7	
nag_settlement_scorpions			military	false	nag_sch_settlement_scorpions		5	
nag_settlement_ushabti			military	false	nag_sch_settlement_ushabti		4	
nag_settlement_warsphinx			military	false	nag_sch_settlement_warsphinx		6	
wh2_dlc09_special_settlement_altdorf_nag			money	false	wh_main_sch_special_settlement_altdorf		0	
wh2_dlc09_special_settlement_athel_loren_nag			money	false	wh_dlc05_sch_wef_settlement_major_main		0	
wh2_dlc09_special_settlement_black_crag_nag			money	false	wh_main_sch_special_settlement_black_crag		0	
wh2_dlc09_special_settlement_castle_drakenhof_nag			money	false	wh_main_sch_special_settlement_castle_drakenhof		0	
wh2_dlc09_special_settlement_couronne_nag			money	false	wh_main_sch_special_settlement_couronne		0	
wh2_dlc09_special_settlement_eight_peaks_nag			money	false	wh_main_sch_special_settlement_eight_peaks		0	
wh2_dlc09_special_settlement_gaean_vale_nag			money	false	wh2_main_sch_special_settlement_gaean_vale		0	
wh2_dlc09_special_settlement_hexoatl_nag			money	false	wh2_main_sch_special_settlement_hexoatl		0	
wh2_dlc09_special_settlement_itza_nag			money	false	wh2_main_sch_special_settlement_itza		0	
wh2_dlc09_special_settlement_karaz_a_karak_nag			money	false	wh_main_sch_special_settlement_karaz_a_karak		0	
wh2_dlc09_special_settlement_khemri_nag			money	false	wh2_main_sch_special_settlement_khemri	data\UI\Buildings\tier_icons\tier_tmb_khemri.png	0	
