building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/jvj_nagash_buildings_secondary								
nag_outpost_landmark_necropolis_mourkain_1				wh_main_PLACEHOLDER	vmp_tmb_mourkain	false	%placeholder%	true
nag_outpost_landmark_boneyard_mourkain_1				wh_main_PLACEHOLDER	wh2_dlc15_special_boneyard	false	%placeholder%	true
nag_outpost_landmark_dragon_isle_port_1				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_dragon_isle_port_ruin				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_lothern_port_1				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_lothern_port_ruin				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_erengrad_port_1				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_erengrad_port_ruin				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_marienburg_port_1				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_marienburg_port_ruin				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_albion_port_1				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_albion_port_ruin				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_copher_port_1				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_copher_port_ruin				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_bordeleaux_port_1				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_landmark_bordeleaux_port_ruin				wh_main_PLACEHOLDER	vampire_port	false	%placeholder%	true
nag_outpost_special_nagashizzar_1				wh_main_PLACEHOLDER	wh2_dlc14_special_nagashizzar_vmp	false	nag_outpost_special_nagashizzar_1	true
nag_outpost_special_nagashizzar_2				wh_main_PLACEHOLDER	wh2_dlc14_special_nagashizzar_vmp	false	nag_outpost_special_nagashizzar_2	true
nag_outpost_special_nagashizzar_3				wh_main_PLACEHOLDER	wh2_dlc14_special_nagashizzar_vmp	false	nag_outpost_special_nagashizzar_3	true
nag_outpost_special_nagashizzar_4				wh_main_PLACEHOLDER	wh2_dlc14_special_nagashizzar_vmp	false	nag_outpost_special_nagashizzar_4	true
nag_outpost_special_nagashizzar_5				wh_main_PLACEHOLDER	wh2_dlc14_special_nagashizzar_vmp	false	nag_outpost_special_nagashizzar_5	true
nag_outpost_special_mourkain_1				wh_main_PLACEHOLDER	wh2_dlc15_special_boneyard	false	%placeholder%	true
nag_outpost_special_mourkain_2				wh_main_PLACEHOLDER	wh2_dlc15_special_boneyard	false	%placeholder%	true
nag_outpost_special_mourkain_3				wh_main_PLACEHOLDER	wh2_dlc15_special_boneyard	false	%placeholder%	true
nag_outpost_special_mourkain_4				wh_main_PLACEHOLDER	wh2_dlc15_special_boneyard	false	%placeholder%	true
nag_outpost_special_mourkain_5				wh_main_PLACEHOLDER	wh2_dlc15_special_boneyard	false	%placeholder%	true
nag_outpost_special_lahmia_1				wh_main_PLACEHOLDER	tomb_kings_city_lahmia	false	%placeholder%	true
nag_outpost_special_lahmia_2				wh_main_PLACEHOLDER	tomb_kings_city_lahmia	false	%placeholder%	true
nag_outpost_special_lahmia_3				wh_main_PLACEHOLDER	tomb_kings_city_lahmia	false	%placeholder%	true
nag_outpost_special_lahmia_4				wh_main_PLACEHOLDER	tomb_kings_city_lahmia	false	%placeholder%	true
nag_outpost_special_lahmia_5				wh_main_PLACEHOLDER	tomb_kings_city_lahmia	false	%placeholder%	true
nag_outpost_special_khemri_1				wh_main_PLACEHOLDER	tomb_kings_city_khemri	false	%placeholder%	true
nag_outpost_special_khemri_2				wh_main_PLACEHOLDER	tomb_kings_city_khemri	false	%placeholder%	true
nag_outpost_special_khemri_3				wh_main_PLACEHOLDER	tomb_kings_city_khemri	false	%placeholder%	true
nag_outpost_special_khemri_4				wh_main_PLACEHOLDER	tomb_kings_city_khemri	false	%placeholder%	true
nag_outpost_special_khemri_5				wh_main_PLACEHOLDER	tomb_kings_city_khemri	false	%placeholder%	true
nag_outpost_special_awakening_1				wh_main_PLACEHOLDER	awakening_settlement	false	%placeholder%	true
nag_outpost_special_awakening_2				wh_main_PLACEHOLDER	awakening_settlement	false	%placeholder%	true
nag_outpost_special_awakening_3				wh_main_PLACEHOLDER	awakening_settlement	false	%placeholder%	true
nag_outpost_special_awakening_4				wh_main_PLACEHOLDER	awakening_settlement	false	%placeholder%	true
nag_outpost_special_awakening_5				wh_main_PLACEHOLDER	awakening_settlement	false	%placeholder%	true
nag_outpost_special_drakenhof_1				wh_main_PLACEHOLDER	vampire_city_castle_drakenhof	false	%placeholder%	true
nag_outpost_special_drakenhof_2				wh_main_PLACEHOLDER	vampire_city_castle_drakenhof	false	%placeholder%	true
nag_outpost_special_drakenhof_3				wh_main_PLACEHOLDER	vampire_city_castle_drakenhof	false	%placeholder%	true
nag_outpost_special_drakenhof_4				wh_main_PLACEHOLDER	vampire_city_castle_drakenhof	false	%placeholder%	true
nag_outpost_special_drakenhof_5				wh_main_PLACEHOLDER	vampire_city_castle_drakenhof	false	%placeholder%	true
nag_outpost_special_quintex_1				wh_main_PLACEHOLDER	special_quintex	false	%placeholder%	true
nag_outpost_special_quintex_2				wh_main_PLACEHOLDER	special_quintex	false	%placeholder%	true
nag_outpost_special_quintex_3				wh_main_PLACEHOLDER	special_quintex	false	%placeholder%	true
nag_outpost_special_quintex_4				wh_main_PLACEHOLDER	special_quintex	false	%placeholder%	true
nag_outpost_special_quintex_5				wh_main_PLACEHOLDER	special_quintex	false	%placeholder%	true
nag_outpost_primary_research_1				wh_main_PLACEHOLDER	vampire_necromancers	false	nag_outpost_primary_research_1	true
nag_outpost_primary_arcane_1				wh_main_PLACEHOLDER	empire_mages	false	nag_outpost_primary_arcane_1	true
nag_outpost_primary_support_1				wh_main_PLACEHOLDER	nor_reccruitment_bonus	false	nag_outpost_primary_support_1	true
nag_outpost_primary_nehek_1				wh_main_PLACEHOLDER	tmb_pyramid_nagash_vault	false	nag_outpost_primary_nehek_1	true
nag_outpost_primary_nagashizzar_1				wh_main_PLACEHOLDER	tmb_pyramid_nagash_vault	false	nag_outpost_primary_nagashizzar_1	true
nag_outpost_primary_coast_1				wh_main_PLACEHOLDER	tmb_pyramid_nagash_vault	false	nag_outpost_primary_coast_1	true
nag_outpost_primary_count_1				wh_main_PLACEHOLDER	tmb_pyramid_nagash_vault	false	nag_outpost_primary_count_1	true
nag_outpost_primary_warpstone_1				wh_main_PLACEHOLDER	dlc12_skv_warpstone_tractor_beam	false	nag_outpost_primary_warpstone_1	true
nag_outpost_secondary_fields_1				wh_main_PLACEHOLDER	vampire_forest	false	nag_outpost_secondary_fields_1	true
nag_outpost_secondary_corruption_1				wh_main_PLACEHOLDER	vampire_cursed_ground	false	nag_outpost_secondary_corruption_1	true
nag_outpost_secondary_syphon_1				wh_main_PLACEHOLDER	vampire_jail	false	nag_outpost_secondary_syphon_1	true
nag_outpost_secondary_energy_1				wh_main_PLACEHOLDER	vampire_balefire	false	nag_outpost_secondary_energy_1	true
nag_settlement_cavalry_1				wh_main_PLACEHOLDER	tmb_ cavalry_stables	false	wh2_dlc09_tmb_cavalry_1	true
nag_settlement_cavalry_2				wh_main_PLACEHOLDER	tmb_ cavalry_stables	false	wh2_dlc09_tmb_cavalry_2	true
nag_settlement_cavalry_3				wh_main_PLACEHOLDER	tmb_ cavalry_stables	false	wh2_dlc09_tmb_cavalry_3	true
nag_settlement_cavalry_4				wh_main_PLACEHOLDER	tmb_ cavalry_stables	false	wh2_dlc09_tmb_cavalry_4	true
nag_settlement_chariots_1				wh_main_PLACEHOLDER	tmb_ chariot_artillery	false	wh2_dlc09_tmb_chariots_1	true
nag_settlement_chariots_2				wh_main_PLACEHOLDER	tmb_ chariot_artillery	false	wh2_dlc09_tmb_chariots_2	true
nag_settlement_chariots_3				wh_main_PLACEHOLDER	tmb_ chariot_artillery	false	wh2_dlc09_tmb_chariots_3	true
nag_settlement_citadel_1				wh_main_PLACEHOLDER	tmb_citadel	false	wh2_dlc09_tmb_citadel_1	true
nag_settlement_defence_major_1				wh_main_PLACEHOLDER	tmb_ walls	false	wh2_dlc09_tmb_walls_1	true
nag_settlement_defence_major_2				wh_main_PLACEHOLDER	tmb_ walls	false	wh2_dlc09_tmb_walls_2	true
nag_settlement_defence_major_3				wh_main_PLACEHOLDER	tmb_ walls	false	wh2_dlc09_tmb_walls_3	true
