building_culture_variants_tables	4
building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
nag_settlement_cavalry_1				wh_main_PLACEHOLDER	tmb_ cavalry_stables	false	wh2_dlc09_tmb_cavalry_1	true
nag_settlement_cavalry_2				wh_main_PLACEHOLDER	tmb_ cavalry_stables	false	wh2_dlc09_tmb_cavalry_2	true
nag_settlement_cavalry_3				wh_main_PLACEHOLDER	tmb_ cavalry_stables	false	wh2_dlc09_tmb_cavalry_3	true
nag_settlement_cavalry_4				wh_main_PLACEHOLDER	tmb_ cavalry_stables	false	wh2_dlc09_tmb_cavalry_4	true
nag_settlement_chariots_1				wh_main_PLACEHOLDER	tmb_ chariot_artillery	false	wh2_dlc09_tmb_chariots_1	true
nag_settlement_chariots_2				wh_main_PLACEHOLDER	tmb_ chariot_artillery	false	wh2_dlc09_tmb_chariots_2	true
nag_settlement_chariots_3				wh_main_PLACEHOLDER	tmb_ chariot_artillery	false	wh2_dlc09_tmb_chariots_3	true
nag_settlement_citadel_1				wh_main_PLACEHOLDER	tmb_citadel	false	wh2_dlc09_tmb_citadel_1	true
nag_settlement_defence_major_1				wh_main_PLACEHOLDER	tmb_ walls	false	wh2_dlc09_tmb_walls_1	true
nag_settlement_defence_major_2				wh_main_PLACEHOLDER	tmb_ walls	false	wh2_dlc09_tmb_walls_2	true
nag_settlement_defence_major_3				wh_main_PLACEHOLDER	tmb_ walls	false	wh2_dlc09_tmb_walls_3	true
nag_settlement_estate_1				wh_main_PLACEHOLDER	tmb_estate	false	wh2_dlc09_tmb_estate_1	true
nag_settlement_growth_1				wh_main_PLACEHOLDER	tmb_ growth	false	wh2_dlc09_tmb_growth_1	true
nag_settlement_growth_2				wh_main_PLACEHOLDER	tmb_ growth	false	wh2_dlc09_tmb_growth_2	true
nag_settlement_growth_3				wh_main_PLACEHOLDER	tmb_ growth	false	wh2_dlc09_tmb_growth_3	true
nag_settlement_hierotitan_1				wh_main_PLACEHOLDER	tmb_hierotitan	false	wh2_dlc09_tmb_hierotitan_1	true
nag_settlement_income_1				wh_main_PLACEHOLDER	tmb_ income	false	wh2_dlc09_tmb_income_1	true
nag_settlement_income_2				wh_main_PLACEHOLDER	tmb_ income	false	wh2_dlc09_tmb_income_2	true
nag_settlement_income_3				wh_main_PLACEHOLDER	tmb_ income	false	wh2_dlc09_tmb_income_3	true
nag_settlement_infantry_1				wh_main_PLACEHOLDER	tmb_ infantry_barracks	false	wh2_dlc09_tmb_infantry_1	true
nag_settlement_infantry_2				wh_main_PLACEHOLDER	tmb_ infantry_barracks	false	wh2_dlc09_tmb_infantry_2	true
nag_settlement_infantry_3				wh_main_PLACEHOLDER	tmb_ infantry_barracks	false	wh2_dlc09_tmb_infantry_3	true
nag_settlement_necrosphinx_1				wh_main_PLACEHOLDER	tmb_necrosphinx	false	wh2_dlc09_tmb_necrosphinx_1	true
nag_settlement_scorpions_1				wh_main_PLACEHOLDER	tmb_ flying_scorpions	false	wh2_dlc09_tmb_scorpions_1	true
nag_settlement_ushabti_1				wh_main_PLACEHOLDER	tmb_ushabti	false	wh2_dlc09_tmb_ushabti_1	true
nag_settlement_ushabti_2				wh_main_PLACEHOLDER	tmb_ushabti	false	wh2_dlc09_tmb_ushabti_2	true
nag_settlement_warsphinx_1				wh_main_PLACEHOLDER	tmb_ warsphinx	false	wh2_dlc09_tmb_warsphinx_1	true
wh2_dlc09_special_settlement_altdorf_nag_1				wh_main_PLACEHOLDER	empire_city_altdorf	false	%placeholder%	true
wh2_dlc09_special_settlement_altdorf_nag_ruin				wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	%placeholder%	true
wh2_dlc09_special_settlement_athel_loren_nag_1				wh_main_PLACEHOLDER	wood_elves_city	false	%placeholder%	true
wh2_dlc09_special_settlement_athel_loren_nag_ruin				wh_main_PLACEHOLDER	wood_elves_city	false	%placeholder%	true
wh2_dlc09_special_settlement_black_crag_nag_1				wh_main_PLACEHOLDER	dwarfs_black_crag	false	%placeholder%	true
wh2_dlc09_special_settlement_black_crag_nag_ruin				wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin	false	%placeholder%	true
wh2_dlc09_special_settlement_castle_drakenhof_nag_1				wh_main_PLACEHOLDER	vampire_city_castle_drakenhof	false	%placeholder%	true
wh2_dlc09_special_settlement_castle_drakenhof_nag_ruin				wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	%placeholder%	true
wh2_dlc09_special_settlement_couronne_nag_1				wh_main_PLACEHOLDER	bretonnia_city_couronne	false	%placeholder%	true
wh2_dlc09_special_settlement_couronne_nag_ruin				wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	%placeholder%	true
wh2_dlc09_special_settlement_eight_peaks_nag_1				wh_main_PLACEHOLDER	dwarf_eight_peaks	false	%placeholder%	true
wh2_dlc09_special_settlement_eight_peaks_nag_ruin				wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin	false	%placeholder%	true
wh2_dlc09_special_settlement_gaean_vale_nag_1				wh_main_PLACEHOLDER	wh2_dlc10_hef_alarielle_settlement	false	%placeholder%	true
wh2_dlc09_special_settlement_gaean_vale_nag_ruin				wh_main_PLACEHOLDER	wh_main_settlement_default_ruin	false	%placeholder%	true
wh2_dlc09_special_settlement_hexoatl_nag_1				wh_main_PLACEHOLDER	lizardmen_city_hexoatl	false	%placeholder%	true
wh2_dlc09_special_settlement_hexoatl_nag_ruin				wh_main_PLACEHOLDER	wh_main_settlement_dwarf_ruin	false	%placeholder%	true
