from	to
#building_downgrade_junctions_tables;0;db/building_downgrade_junctions_tables/jvj_nagash_buildings_horde	
nag_bpyramid_main_1	nag_bpyramid_main_1
nag_bpyramid_main_2	nag_bpyramid_main_2
nag_bpyramid_main_3	nag_bpyramid_main_3
nag_bpyramid_main_4	nag_bpyramid_main_4
nag_bpyramid_main_5	nag_bpyramid_main_5
nag_nagash_horde_special_1	nag_nagash_horde_special_1
nag_nagash_horde_special_2	nag_nagash_horde_special_2
nag_nagash_horde_special_3	nag_nagash_horde_special_3
nag_arkhan_horde_special_1	nag_arkhan_horde_special_1
nag_arkhan_horde_special_2	nag_arkhan_horde_special_2
nag_arkhan_horde_special_3	nag_arkhan_horde_special_3
nag_arkhan_horde_special_4	nag_arkhan_horde_special_4
nag_arkhan_horde_special_5	nag_arkhan_horde_special_5
nag_vlad_horde_special_1	nag_vlad_horde_special_1
nag_vlad_horde_special_2	nag_vlad_horde_special_2
nag_vlad_horde_special_3	nag_vlad_horde_special_3
nag_vlad_horde_special_4	nag_vlad_horde_special_4
nag_vlad_horde_special_5	nag_vlad_horde_special_5
nag_neffy_horde_special_1	nag_neffy_horde_special_1
nag_neffy_horde_special_2	nag_neffy_horde_special_2
nag_neffy_horde_special_3	nag_neffy_horde_special_3
nag_neffy_horde_special_4	nag_neffy_horde_special_4
nag_neffy_horde_special_5	nag_neffy_horde_special_5
nag_manny_horde_special_1	nag_manny_horde_special_1
nag_manny_horde_special_2	nag_manny_horde_special_2
nag_manny_horde_special_3	nag_manny_horde_special_3
nag_manny_horde_special_4	nag_manny_horde_special_4
nag_manny_horde_special_5	nag_manny_horde_special_5
nag_krell_horde_special_1	nag_krell_horde_special_1
nag_krell_horde_special_2	nag_krell_horde_special_2
nag_krell_horde_special_3	nag_krell_horde_special_3
nag_krell_horde_special_4	nag_krell_horde_special_4
nag_krell_horde_special_5	nag_krell_horde_special_5
nag_luthor_horde_special_1	nag_luthor_horde_special_1
nag_luthor_horde_special_2	nag_luthor_horde_special_2
nag_luthor_horde_special_3	nag_luthor_horde_special_3
nag_luthor_horde_special_4	nag_luthor_horde_special_4
nag_luthor_horde_special_5	nag_luthor_horde_special_5
nag_subhorde_main_1	nag_subhorde_main_1
nag_subhorde_main_2	nag_subhorde_main_2
nag_subhorde_main_3	nag_subhorde_main_3
nag_dieter_horde_special_1	nag_dieter_horde_special_1
nag_dieter_horde_special_2	nag_dieter_horde_special_2
nag_dieter_horde_special_3	nag_dieter_horde_special_3
nag_dieter_horde_special_4	nag_dieter_horde_special_4
nag_dieter_horde_special_5	nag_dieter_horde_special_5
nag_azhag_horde_special_1	nag_azhag_horde_special_1
nag_azhag_horde_special_2	nag_azhag_horde_special_2
nag_azhag_horde_special_3	nag_azhag_horde_special_3
nag_azhag_horde_special_4	nag_azhag_horde_special_4
nag_azhag_horde_special_5	nag_azhag_horde_special_5
