building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/jvj_nagash_buildings_secondary			
nag_outpost_special_nagashizzar		nag_outpost_unique	false
nag_outpost_special_mourkain		nag_outpost_unique	false
nag_outpost_special_lahmia		nag_outpost_unique	false
nag_outpost_special_khemri		nag_outpost_unique	false
nag_outpost_special_awakening		nag_outpost_unique	false
nag_outpost_special_drakenhof		nag_outpost_unique	false
nag_outpost_special_quintex		nag_outpost_unique	false
nag_outpost_landmark_boneyard_mourkain		nag_outpost_unique	false
nag_outpost_landmark_necropolis_mourkain		nag_outpost_unique	false
nag_outpost_landmark_ogham_stones		nag_outpost_unique	false
nag_outpost_landmark_dragon_isle_port		wh_main_set_port	false
nag_outpost_landmark_lothern_port		wh_main_set_port	false
nag_outpost_landmark_erengrad_port		wh_main_set_port	false
nag_outpost_landmark_marienburg_port		wh_main_set_port	false
nag_outpost_landmark_albion_port		wh_main_set_port	false
nag_outpost_landmark_copher_port		wh_main_set_port	false
nag_outpost_landmark_bordeleaux_port		wh_main_set_port	false
nag_outpost_primary_research		nag_outpost_primary_outpost	false
nag_outpost_primary_arcane		nag_outpost_primary_outpost	false
nag_outpost_primary_support		nag_outpost_primary_outpost	false
nag_outpost_primary_nehek		nag_outpost_primary_outpost	false
nag_outpost_primary_nagashizzar		nag_outpost_primary_outpost	false
nag_outpost_primary_coast		nag_outpost_primary_outpost	false
nag_outpost_primary_count		nag_outpost_primary_outpost	false
nag_outpost_primary_warpstone		nag_outpost_primary_outpost	false
nag_outpost_secondary_fields		nag_outpost_secondary_outpost	false
nag_outpost_secondary_corruption		nag_outpost_secondary_outpost	false
nag_outpost_secondary_syphon		nag_outpost_secondary_outpost	false
nag_outpost_secondary_energy		nag_outpost_secondary_outpost	false
nag_settlement_citadel		wh2_dlc09_set_tomb_kings_infrastructure	false
nag_settlement_estate		wh2_dlc09_set_tomb_kings_infrastructure	false
nag_settlement_growth		wh2_dlc09_set_tomb_kings_infrastructure	false
nag_settlement_income		wh2_dlc09_set_tomb_kings_infrastructure	false
nag_settlement_cavalry		wh2_dlc09_set_tomb_kings_military_recruitment	false
nag_settlement_chariots		wh2_dlc09_set_tomb_kings_military_recruitment	false
nag_settlement_infantry		wh2_dlc09_set_tomb_kings_military_recruitment	false
nag_settlement_hierotitan		wh2_dlc09_set_tomb_kings_military_support	false
nag_settlement_necrosphinx		wh2_dlc09_set_tomb_kings_military_support	false
nag_settlement_scorpions		wh2_dlc09_set_tomb_kings_military_support	false
nag_settlement_ushabti		wh2_dlc09_set_tomb_kings_military_support	false
nag_settlement_warsphinx		wh2_dlc09_set_tomb_kings_military_support	false
nag_settlement_defence_major		wh2_dlc09_set_tomb_kings_defence	false
