from	to
#building_upgrades_junction_tables	0	db/building_upgrades_junction_tables/jvj_nagash_buildings_horde
nag_bpyramid_main_1	nag_bpyramid_main_2
nag_bpyramid_main_2	nag_bpyramid_main_3
nag_bpyramid_main_3	nag_bpyramid_main_4
nag_bpyramid_main_4	nag_bpyramid_main_5
nag_bpyramid_ew2_mortuary_1	nag_bpyramid_ew2_mortuary_2
nag_bpyramid_ew2_mortuary_2	nag_bpyramid_ew2_mortuary_3
nag_bpyramid_ew1_barracks_1	nag_bpyramid_ew1_barracks_2
nag_bpyramid_ew1_barracks_2	nag_bpyramid_ew1_barracks_3
nag_bpyramid_ew1_barracks_3	nag_bpyramid_ew1_barracks_4
nag_bpyramid_ew1_barracks_4	nag_bpyramid_ew1_barracks_5
nag_bpyramid_ww1_stables_1	nag_bpyramid_ww1_stables_2
nag_bpyramid_ww1_stables_2	nag_bpyramid_ww1_stables_3
nag_bpyramid_ww1_stables_3	nag_bpyramid_ww1_stables_4
nag_bpyramid_ww1_stables_4	nag_bpyramid_ww1_stables_5
nag_bpyramid_ww2_warmachines_1	nag_bpyramid_ww2_warmachines_2
nag_bpyramid_ww2_warmachines_2	nag_bpyramid_ww2_warmachines_3
nag_bpyramid_main_obelisk_1	nag_bpyramid_main_obelisk_2
nag_bpyramid_main_obelisk_2	nag_bpyramid_main_obelisk_3
nag_bpyramid_main_obelisk_3	nag_bpyramid_main_obelisk_4
nag_bpyramid_main_obelisk_4	nag_bpyramid_main_obelisk_5
nag_bpyramid_ew4_other_1	nag_bpyramid_ew4_other_2
nag_bpyramid_ew4_other_2	nag_bpyramid_ew4_other_3
nag_bpyramid_ww4_extra_1	nag_bpyramid_ww4_extra_2
nag_bpyramid_ww4_extra_2	nag_bpyramid_ww4_extra_3
nag_bpyramid_ew3_growth_1	nag_bpyramid_ew3_growth_2
nag_bpyramid_ew3_growth_2	nag_bpyramid_ew3_growth_3
nag_bpyramid_ew3_growth_3	nag_bpyramid_ew3_growth_4
nag_bpyramid_ww3_industry_1	nag_bpyramid_ww3_industry_2
nag_bpyramid_ww3_industry_2	nag_bpyramid_ww3_industry_3
nag_nagash_horde_special_1	nag_nagash_horde_special_2
nag_nagash_horde_special_2	nag_nagash_horde_special_3
nag_arkhan_horde_special_1	nag_arkhan_horde_special_2
nag_arkhan_horde_special_2	nag_arkhan_horde_special_3
nag_arkhan_horde_special_3	nag_arkhan_horde_special_4
nag_arkhan_horde_special_4	nag_arkhan_horde_special_5
nag_vlad_horde_special_1	nag_vlad_horde_special_2
nag_vlad_horde_special_2	nag_vlad_horde_special_3
nag_vlad_horde_special_3	nag_vlad_horde_special_4
nag_vlad_horde_special_4	nag_vlad_horde_special_5
nag_neffy_horde_special_1	nag_neffy_horde_special_2
nag_neffy_horde_special_2	nag_neffy_horde_special_3
nag_neffy_horde_special_3	nag_neffy_horde_special_4
nag_neffy_horde_special_4	nag_neffy_horde_special_5
nag_manny_horde_special_1	nag_manny_horde_special_2
nag_manny_horde_special_2	nag_manny_horde_special_3
nag_manny_horde_special_3	nag_manny_horde_special_4
nag_manny_horde_special_4	nag_manny_horde_special_5
nag_krell_horde_special_1	nag_krell_horde_special_2
nag_krell_horde_special_2	nag_krell_horde_special_3
nag_krell_horde_special_3	nag_krell_horde_special_4
nag_krell_horde_special_4	nag_krell_horde_special_5
nag_luthor_horde_special_1	nag_luthor_horde_special_2
nag_luthor_horde_special_2	nag_luthor_horde_special_3
nag_luthor_horde_special_3	nag_luthor_horde_special_4
nag_luthor_horde_special_4	nag_luthor_horde_special_5
nag_arkhan_horde_landmark_0	nag_arkhan_horde_landmark_1
nag_vlad_horde_landmark_0	nag_vlad_horde_landmark_1
nag_neffy_horde_landmark_0	nag_neffy_horde_landmark_1
nag_manny_horde_landmark_0	nag_manny_horde_landmark_1
nag_krell_horde_landmark_0	nag_krell_horde_landmark_1
nag_luthor_horde_landmark_0	nag_luthor_horde_landmark_1
nag_horde_military1_barracks_1	nag_horde_military1_barracks_2
nag_horde_military1_barracks_2	nag_horde_military1_barracks_3
nag_horde_military1_barracks_3	nag_horde_military1_barracks_4
nag_horde_military2_stables_1	nag_horde_military2_stables_2
nag_horde_military2_stables_2	nag_horde_military2_stables_3
nag_horde_military2_stables_3	nag_horde_military2_stables_4
nag_horde_military3_warmachines_1	nag_horde_military3_warmachines_2
nag_horde_military4_monsters_1	nag_horde_military4_monsters_2
nag_horde_military4_monsters_2	nag_horde_military4_monsters_3
nag_horde_support1_smith_1	nag_horde_support1_smith_2
nag_horde_support2_worship_1	nag_horde_support2_worship_2
nag_horde_support2_worship_2	nag_horde_support2_worship_3
nag_horde_infrastructure1_growth_1	nag_horde_infrastructure1_growth_2
nag_horde_infrastructure1_growth_2	nag_horde_infrastructure1_growth_3
nag_horde_infrastructure2_industry_1	nag_horde_infrastructure2_industry_2
nag_horde_infrastructure3_energy_1	nag_horde_infrastructure3_energy_2
nag_horde_infrastructure3_energy_2	nag_horde_infrastructure3_energy_3
nag_horde_infrastructure4_other_1	nag_horde_infrastructure4_other_2
nag_subhorde_main_1	nag_subhorde_main_2
nag_subhorde_main_2	nag_subhorde_main_3
nag_subhorde_military1_barracks_1	nag_subhorde_military1_barracks_2
nag_subhorde_military1_barracks_2	nag_subhorde_military1_barracks_3
nag_subhorde_military2_stables_1	nag_subhorde_military2_stables_2
nag_subhorde_military2_stables_2	nag_subhorde_military2_stables_3
nag_subhorde_support2_worship_1	nag_subhorde_support2_worship_2
nag_subhorde_infrastructure1_growth_1	nag_subhorde_infrastructure1_growth_2
nag_subhorde_infrastructure2_industry_1	nag_subhorde_infrastructure2_industry_2
