member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/rhox_nagash		
rhox_nagash_feature_group	ACTOR	mixer_nag_nagash
rhox_nagash_stance_group	ORIGINATOR	mixer_nag_nagash
wh2_dlc15_prison_action_interrogate_nagash	ACTOR	wh2_main_hef_yvresse
nagash_climate_chaotic	ACTOR	mixer_nag_nagash
nagash_climate_desert	ACTOR	mixer_nag_nagash
nagash_climate_frozen	ACTOR	mixer_nag_nagash
nagash_climate_island	ACTOR	mixer_nag_nagash
nagash_climate_jungle	ACTOR	mixer_nag_nagash
nagash_climate_magicforest	ACTOR	mixer_nag_nagash
nagash_climate_mountain	ACTOR	mixer_nag_nagash
nagash_climate_ocean	ACTOR	mixer_nag_nagash
nagash_climate_savannah	ACTOR	mixer_nag_nagash
nagash_climate_temperate	ACTOR	mixer_nag_nagash
nagash_climate_wasteland	ACTOR	mixer_nag_nagash
rhox_nagash_lahmia_feature	ACTOR	wh3_main_vmp_lahmian_sisterhood
rhox_nagash_lahmia_agent_action_establish_pirate_cove_vmp_death	ACTOR	wh3_main_vmp_lahmian_sisterhood
rhox_nagash_lahmia_agent_action_establish_pirate_cove_vmp_shadow	ACTOR	wh3_main_vmp_lahmian_sisterhood
nagash_lahmia_climate_mountain	ACTOR	wh3_main_vmp_lahmian_sisterhood
nagash_kalledria_climate_magicforest	ACTOR	mixer_vmp_wailing_conclave
rhox_nagash_kalledria_feature	ACTOR	mixer_vmp_wailing_conclave
rhox_nagash_kalledria_feature_iee	ACTOR	mixer_vmp_wailing_conclave
diplomacy_Faction_Kalledria_&_Negative	ACTOR	mixer_vmp_wailing_conclave
diplomacy_Faction_Kalledria_&_Positive	ACTOR	mixer_vmp_wailing_conclave
diplomacy_Faction_Kalledria	ACTOR	mixer_vmp_wailing_conclave
