id	incident_key	option_key	value	target
#cdir_events_incident_option_junctions_tables;1;db/cdir_events_incident_option_junctions_tables/rhox_nagash				
1450500409	rhox_nagash_uber_husk	VAR_CHANCE	100	default
1450500410	rhox_nagash_uber_husk	GEN_TARGET_MODEL		default
1450500411	rhox_nagash_azhag_mortarch	VAR_CHANCE	100	default
1450500412	rhox_nagash_azhag_mortarch	GEN_TARGET_MODEL		default
1450500413	rhox_nagash_mortarch_notify	VAR_CHANCE	100	default
1450500414	rhox_nagash_mortarch_notify	GEN_TARGET_MODEL		default
1450500415	rhox_nagash_declare_war	VAR_CHANCE	100	default
1450500416	rhox_nagash_declare_war	GEN_TARGET_MODEL		default
1450500417	rhox_nagash_victory	VAR_CHANCE	100	default
1450500418	rhox_nagash_victory	GEN_TARGET_NONE		default
1450500419	rhox_nagash_force_vassalised	GEN_TARGET_MODEL		default
1450500420	rhox_nagash_harkon_restoed_incident	GEN_TARGET_MODEL		default
1450500421	rhox_nagash_harkon_restoed_incident	VAR_CHANCE	100	default
1450500422	rhox_nagash_mortarch_notify_coast	VAR_CHANCE	100	default
1450500423	rhox_nagash_mortarch_notify_coast	GEN_TARGET_MODEL		default
1450500424	rhox_nagash_declare_war_coast	VAR_CHANCE	100	default
1450500425	rhox_nagash_declare_war_coast	GEN_TARGET_MODEL		default
1450500426	rhox_nagash_force_vassalised_coast	GEN_TARGET_MODEL		default
1450500427	rhox_nagash_mortarch_notify_tk	VAR_CHANCE	100	default
1450500428	rhox_nagash_mortarch_notify_tk	GEN_TARGET_MODEL		default
1450500429	rhox_nagash_declare_war_tk	VAR_CHANCE	100	default
1450500430	rhox_nagash_declare_war_tk	GEN_TARGET_MODEL		default
1450500431	rhox_nagash_force_vassalised_tk	GEN_TARGET_MODEL		default
1450500432	rhox_nagash_mortarch_notify_jv	VAR_CHANCE	100	default
1450500433	rhox_nagash_mortarch_notify_jv	GEN_TARGET_MODEL		default
1450500434	rhox_nagash_declare_war_jv	VAR_CHANCE	100	default
1450500435	rhox_nagash_declare_war_jv	GEN_TARGET_MODEL		default
1450500436	rhox_nagash_force_vassalised_jv	GEN_TARGET_MODEL		default
1450500437	rhox_nagash_lahmia_force_vassalised	GEN_TARGET_MODEL		default
1450500438	rhox_nagash_lahmia_faction_available_for_vassalisation	GEN_TARGET_MODEL		default
