id	mission_key	option_key	value
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/nagash_generated			
357716	nag_assassinate_character_agent_brt	CND_ROUNDS_UNTIL_NEXT	16
357717	nag_assassinate_character_agent_brt	VAR_MISSION_LENGTH_MIN	4
357718	nag_assassinate_character_agent_brt	GEN_CND_WAR	
357719	nag_assassinate_character_agent_brt	VAR_MISSION_LENGTH_MOD_HARD	1.2
357720	nag_assassinate_character_agent_brt	CND_CAMPAIGN	main_warhammer
357721	nag_assassinate_character_agent_brt	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_runesmith_ghost
357722	nag_assassinate_character_agent_brt	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
357723	nag_assassinate_character_agent_brt	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
357724	nag_assassinate_character_agent_brt	CND_FIRST_ROUND	4
357725	nag_assassinate_character_agent_brt	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
357726	nag_assassinate_character_agent_brt	GEN_TARGET_CHARACTER	
357727	nag_assassinate_character_agent_brt	GEN_CND_VISIBLE	
357728	nag_assassinate_character_agent_brt	VAR_CHANCE	25
357729	nag_assassinate_character_agent_brt	GEN_CND_AGENT	
357730	nag_assassinate_character_agent_brt	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_master_engineer_ghost
357731	nag_assassinate_character_agent_brt	VAR_MISSION_LENGTH_MOD_EASY	2.0
357732	nag_assassinate_character_agent_brt	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
357733	nag_assassinate_character_agent_brt	GEN_CND_NOT_AGENT_SUBTYPE	dlc07_brt_green_knight
357734	nag_assassinate_character_agent_brt	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
357735	nag_assassinate_character_agent_brt	GEN_CND_NOT_WOUNDED	
357736	nag_assassinate_character_agent_brt	GEN_CND_SUBCULTURE	wh_main_sc_brt_bretonnia
357737	nag_assassinate_character_agent_brt	CND_HAS_AGENT	champion;dignitary;engineer;minister;runesmith;spy;wizard
357738	nag_assassinate_character_agent_brt	CND_CULTURE	nag_nagash
357739	nag_assassinate_character_agent_brt	GEN_CND_MAX_REGION_DISTANCE	3
357740	nag_assassinate_character_agent_brt	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_thane_ghost_2
357741	nag_assassinate_character_agent_brt	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_thane_ghost_1
357742	nag_assassinate_character_agent_brt	VAR_MISSION_LENGTH_MAX	8
357743	nag_assassinate_character_agent_bst	GEN_TARGET_CHARACTER	
357744	nag_assassinate_character_agent_bst	GEN_CND_MAX_REGION_DISTANCE	3
357745	nag_assassinate_character_agent_bst	CND_FIRST_ROUND	4
357746	nag_assassinate_character_agent_bst	GEN_CND_VISIBLE	
357747	nag_assassinate_character_agent_bst	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_thane_ghost_2
357748	nag_assassinate_character_agent_bst	VAR_MISSION_LENGTH_MIN	4
357749	nag_assassinate_character_agent_bst	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	8
357750	nag_assassinate_character_agent_bst	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_master_engineer_ghost
357751	nag_assassinate_character_agent_bst	VAR_CHANCE	25
357752	nag_assassinate_character_agent_bst	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
357753	nag_assassinate_character_agent_bst	VAR_MISSION_LENGTH_MAX	8
357754	nag_assassinate_character_agent_bst	GEN_CND_SUBCULTURE	wh_dlc03_sc_bst_beastmen
357755	nag_assassinate_character_agent_bst	CND_ROUNDS_UNTIL_NEXT	16
357756	nag_assassinate_character_agent_bst	GEN_CND_WAR	
357757	nag_assassinate_character_agent_bst	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_runesmith_ghost
357758	nag_assassinate_character_agent_bst	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
357759	nag_assassinate_character_agent_bst	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
357760	nag_assassinate_character_agent_bst	VAR_MISSION_LENGTH_MOD_HARD	1.2
357761	nag_assassinate_character_agent_bst	GEN_CND_NOT_WOUNDED	
357762	nag_assassinate_character_agent_bst	CND_CAMPAIGN	main_warhammer
357763	nag_assassinate_character_agent_bst	CND_HAS_AGENT	champion;dignitary;engineer;minister;runesmith;spy;wizard
357764	nag_assassinate_character_agent_bst	GEN_CND_AGENT	
357765	nag_assassinate_character_agent_bst	VAR_MISSION_LENGTH_MOD_EASY	2.0
357766	nag_assassinate_character_agent_bst	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
