child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/rhox_nagash_hand							
nag_hand_of_nagash_magic_2	nag_hand_of_nagash_magic_1	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_magic_3	nag_hand_of_nagash_magic_1	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_magic_4	nag_hand_of_nagash_magic_1	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_magic_5	nag_hand_of_nagash_magic_1	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_magic_6	nag_hand_of_nagash_magic_2	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_magic_6	nag_hand_of_nagash_magic_3	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_magic_6	nag_hand_of_nagash_magic_4	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_magic_6	nag_hand_of_nagash_magic_5	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_magic_7	nag_hand_of_nagash_magic_6	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_magic_8	nag_hand_of_nagash_magic_6	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_magic_9	nag_hand_of_nagash_magic_6	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_magic_10	nag_hand_of_nagash_magic_6	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_magic_11	nag_hand_of_nagash_magic_7	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_magic_11	nag_hand_of_nagash_magic_8	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_magic_11	nag_hand_of_nagash_magic_9	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_magic_11	nag_hand_of_nagash_magic_10	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_self_2	nag_hand_of_nagash_self_1	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_self_3	nag_hand_of_nagash_self_1	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_self_4	nag_hand_of_nagash_self_1	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_self_5	nag_hand_of_nagash_self_1	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_self_6	nag_hand_of_nagash_self_2	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_self_6	nag_hand_of_nagash_self_3	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_self_6	nag_hand_of_nagash_self_4	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_self_6	nag_hand_of_nagash_self_5	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_self_7	nag_hand_of_nagash_self_6	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_self_8	nag_hand_of_nagash_self_6	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_self_9	nag_hand_of_nagash_self_6	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_self_10	nag_hand_of_nagash_self_6	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_self_11	nag_hand_of_nagash_self_7	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_self_11	nag_hand_of_nagash_self_8	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_self_11	nag_hand_of_nagash_self_9	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_self_11	nag_hand_of_nagash_self_10	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_unique_02	nag_hand_of_nagash_unique_01	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_unique_03	nag_hand_of_nagash_unique_01	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_unique_04	nag_hand_of_nagash_unique_01	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_unique_05	nag_hand_of_nagash_unique_01	0	1	1	0.0000	0.0000	REQUIRED
nag_hand_of_nagash_unique_06	nag_hand_of_nagash_unique_02	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_unique_06	nag_hand_of_nagash_unique_03	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_unique_06	nag_hand_of_nagash_unique_04	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
nag_hand_of_nagash_unique_06	nag_hand_of_nagash_unique_05	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
