key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/nagash_skills									
nag_skill_army_buff_ranged	battle_ammo.png		Ranged Buff	0	false	false	false	0.0	0
nag_skill_army_buff_infantry	battle_armour.png		Infantry Buff	0	false	false	false	0.0	0
nag_skill_army_buff_cav	battle_speed.png		Cav & Chariot Buff	0	false	false	false	0.0	0
nag_skill_army_buff_beasts	battle_charge.png		Warbeasts & Monstrous Inf Buff	0	false	false	false	0.0	0
nag_skill_army_buff_spirit	battle_magic.png		Magical/Spirit Units Buff	0	false	false	false	0.0	0
nag_skill_army_buff_construct	battle_charge.png		Monsters & Constructs Buff	0	false	false	false	0.0	0
nag_skill_army_buff_vet_vamp	battle_vampiric.png		Sylvanian Buff	0	false	false	false	0.0	0
nag_skill_army_buff_vet_nehek	battle_nehek.png		Nehekharan Buff	0	false	false	false	0.0	0
nag_skill_army_buff_vet_coast	battle_coast.png		Coast Buff	0	false	false	false	0.0	0
nag_skill_army_buff_vet_nagash	battle_nagashizzar.png		Nagashizzar Buff	0	false	false	false	0.0	0
nag_skill_campaign_movement	campaign_movement.png		Route Marcher	0	false	false	false	0.0	0
nag_skill_campaign_corruption	campaign_vampiric_corruption.png		Glory of Nagash	0	false	false	false	0.0	0
nag_skill_campaign_raiding	campaign_military_spending.png		Soul Harvester	0	false	false	false	0.0	0
nag_skill_campaign_replenishment	campaign_replenishment.png		Undying Horde	0	false	false	false	0.0	0
nag_skill_campaign_growth	campaign_growth.png		Dark Conduit	0	false	false	false	0.0	0
nag_skill_campaign_recruit	campaign_army.png		Endless Undeath	0	false	false	false	0.0	0
nag_skill_campaign_attrition	campaign_disaster.png		Imperishable	0	false	false	false	0.0	0
nag_skill_campaign_loot	campaign_military_spending.png		All is Mine!	0	false	false	false	0.0	0
nag_skill_campaign_ambush	campaign_ambush.png		Eternal and Vigilant	0	false	false	false	0.0	0
nag_skill_campaign_self_defense	campaign_agent.png		Renowned & Feared	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_corruption	campaign_vampiric_corruption.png		Glory to Me!	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_raiding	campaign_military_spending.png		Soul Harvester	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_replenishment	campaign_replenishment.png		Undying Horde	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_growth	campaign_growth.png		Dark Conduit	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_recruit	campaign_army.png		Endless Undeath	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_attrition	campaign_disaster.png		Imperishable	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_loot	campaign_military_spending.png		All is Mine!	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_ambush	campaign_ambush.png		Eternal and Vigilant	0	false	false	false	0.0	0
nag_skill_campaign_nagash_big_self_defense	campaign_agent.png		Death & Undeath	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_corruption	campaign_vampiric_corruption.png		Glory to Me!	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_raiding	campaign_military_spending.png		Soul Harvester	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_replenishment	campaign_replenishment.png		Undying Horde	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_growth	campaign_growth.png		Dark Conduit	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_recruit	campaign_army.png		Endless Undeath	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_attrition	campaign_disaster.png		Imperishable	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_loot	campaign_military_spending.png		All is Mine!	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_ambush	campaign_ambush.png		Eternal and Vigilant	0	false	false	false	0.0	0
nag_skill_campaign_nagash_small_self_defense	campaign_agent.png		Death & Undeath	0	false	false	false	0.0	0
nag_skill_campaign_jolly_roger	campaign_agent.png		Black Flag	0	false	false	false	0.0	0
