bonus_value_id	effect_key	battle_context_key
#effect_bonus_value_battle_context_junctions_tables;0;db/effect_bonus_value_battle_context_junctions_tables/rhox_nagash		
melee_attack_mod	nag_effect_self_krell_melee_attack_versus_nor_chs_bst	fighting_culture_beastmen_chaos_norsca
melee_damage_ap_mod_mult	nag_effect_self_krell_melee_damage_versus_nor_chs_bst	fighting_culture_beastmen_chaos_norsca
melee_damage_mod_mult	nag_effect_self_krell_melee_damage_versus_nor_chs_bst	fighting_culture_beastmen_chaos_norsca
charge_bonus	nag_effect_self_krell_charge_bonus_versus_nor_chs_bst	fighting_culture_beastmen_chaos_norsca
melee_attack_mod	nag_effect_force_army_battle_melee_attack_all_defending	fighting_force_status_yours_defending
melee_defence_mod	nag_effect_force_army_battle_melee_defence_all_defending	fighting_force_status_yours_defending
melee_attack_mod	nag_effect_force_unit_stat_melee_attack_vs_undead	fighting_culture_undead
unit_flaming_attack_mod	nag_effect_self_arkhan_stat_enable_flaming_attacks_vs_tmb	fighting_culture_tomb_kings
melee_damage_mod_mult	nag_effect_self_neferata_melee_damage_vs_gullable	fighting_culture_gullable
unit_damage_resistance_physical_mod	nag_effect_self_neferata_ward_save_physical_vs_lybaras	fighting_faction_lybaras
melee_defence_mod	nag_effect_self_neferata_melee_defence_vs_lybaras	fighting_faction_lybaras
melee_attack_mod	nag_effect_bonus_melee_attack_fighting_against_all	fighting_culture_living
charge_bonus	nag_effect_bonus_charge_fighting_against_all	fighting_culture_living
melee_attack_mod	nag_effect_force_unit_stat_attack_attacking	fighting_force_status_yours_attacking
melee_attack_mod	nag_effect_force_unit_stat_melee_attack_versus_bretonnia	fighting_culture_bretonnia
melee_attack_mod	nag_effect_force_unit_stat_melee_attack_versus_beastmen	fighting_culture_beastmen
melee_attack_mod	nag_effect_force_unit_stat_melee_attack_versus_high_elves	fighting_culture_highelf
melee_attack_mod	nag_effect_force_unit_stat_melee_attack_versus_lizardmen	fighting_culture_lizardmen
melee_attack_mod	nag_effect_force_unit_stat_melee_attack_versus_vampires	fighting_culture_vampire_coast_counts
melee_attack_mod	nag_effect_force_unit_stat_melee_attack_versus_wood_elves	fighting_culture_wood_elves
morale	nag_effect_force_army_battle_leadership_all_defending	fighting_force_status_yours_defending
melee_attack_mod	nag_effect_force_stat_melee_attack_vs_daemons	fighting_culture_daemons_chaos
unit_damage_resistance_all_mod	nag_effect_force_stat_ward_save_vs_daemons	fighting_culture_daemons_chaos
