bonus_value_id	effect	force_ability
#effect_bonus_value_military_force_ability_junctions_tables;0;db/effect_bonus_value_military_force_ability_junctions_tables/rhox_nagash		
enable	nag_ability_enable_batocalypse	nag_army_abilities_batocalypse
enable	nag_ability_enable_endless_tomb	nag_army_abilities_endless_tomb
enable	nag_ability_enable_endless_tomb_hidden	nag_army_abilities_endless_tomb_hidden_dummy
enable	rhox_nagash_hidden_wrath_abilities	nag_army_abilities_blyramid_bombardment_00
enable	rhox_nagash_hidden_wrath_abilities	nag_army_abilities_blyramid_bombardment_01
enable	rhox_nagash_hidden_wrath_abilities	nag_army_abilities_blyramid_bombardment_02
enable	rhox_nagash_hidden_wrath_abilities	nag_army_abilities_blyramid_bombardment_03
enable	rhox_nagash_hidden_wrath_abilities	nag_army_abilities_blyramid_bombardment_04
enable	nag_ability_enable_blyramid_itself	nag_blyramid_itself
enable	nag_ability_enable_wrath_of_the_gods	nag_army_abilities_blyramid_bombardment_targeting
enable	nag_effect_enable_bound_spell_dance_of_despair	wh3_dlc20_cataclysm_bound_dance_of_despair
enable	nag_effect_enable_bound_spell_ashes_and_dust	wh3_dlc20_cataclysm_bound_ashes_and_dust
