bonus_value_id	effect	ritual
#effect_bonus_value_ritual_junctions_tables;0;db/effect_bonus_value_ritual_junctions_tables/rhox_nagash		
disable_ritual_targeting	wh3_main_effect_forced_vassalage_disabled	rhox_nagash_ritual_forced_vassalisation
disable_ritual_targeting	wh3_main_effect_forced_vassalage_disabled	rhox_nagash_lahmia_ritual_forced_vassalisation
enable_ritual_targeting	wh3_main_effect_forced_vassalage_enabled	rhox_nagash_lahmia_ritual_forced_vassalisation
enable	rhox_nagash_kalledria_hex_upgrade_1	rhox_nagash_kalledria_ritual_hex_1_empowered
enable	rhox_nagash_kalledria_hex_upgrade_3	rhox_nagash_kalledria_ritual_hex_3_empowered
enable	rhox_nagash_kalledria_hex_upgrade_4	rhox_nagash_kalledria_ritual_hex_4_empowered
enable	rhox_nagash_kalledria_hex_upgrade_5	rhox_nagash_kalledria_ritual_hex_5_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_forest_of_gloom_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gaean_vale_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_gryphon_wood_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_heart_of_the_jungle_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_jungles_of_chian_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_laurelorn_forest_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_oak_of_ages_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_haunted_forest_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_sacred_pools_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_witchwood_empowered
enable	rhox_nagash_kalledria_hex_upgrade_2	wh3_dlc24_ritual_ksl_hex_2_kalledria_ie_the_far_place
