effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/rhox_nagash_rites				
nag_death	nag_effect_unit_xp_levels_all_skeleton	faction_to_force_own_unseen	3.0000	start_turn_completed
nag_death	nag_effect_recruit_rank_nag_ghouls_zombies	faction_to_force_own_unseen	2.0000	start_turn_completed
nag_divinity	nag_undead_corruption_world_dummy	faction_to_army_own_unseen	20.0000	start_turn_completed
nag_divinity	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_force_own	15.0000	start_turn_completed
nag_divinity	wh_main_effect_economy_gdp_mod_all	faction_to_region_own_unseen	25.0000	start_turn_completed
nag_winds	wh3_main_effect_winds_of_magic_pool_cap	faction_to_force_own	15.0000	start_turn_completed
nag_winds	nag_effect_grand_spell_01_recharge_instant	faction_to_force_own_unseen	15.0000	start_turn_completed
nag_winds	nag_effect_grand_spell_02_recharge_instant	faction_to_force_own_unseen	15.0000	start_turn_completed
nag_winds	nag_effect_grand_spell_03_recharge_instant	faction_to_force_own_unseen	15.0000	start_turn_completed
nag_death	nag_effect_spawns_army_dummy	faction_to_force_own_unseen	1.0000	start_turn_completed
nag_death	nag_effect_resource_upkeep_reduction_beasts	faction_to_force_own_unseen	-75.0000	start_turn_completed
nag_death	nag_effect_resource_upkeep_reduction_construct	faction_to_force_own_unseen	-75.0000	start_turn_completed
nag_death	nag_effect_resource_upkeep_reduction_zombie	faction_to_force_own_unseen	-75.0000	start_turn_completed
nag_man	wh_main_effect_settlement_walls_hidden	province_to_region_own_factionwide	1.0000	start_turn_completed
nag_man	wh3_main_effect_unfortified_settlement_battle_walls	province_to_region_own_factionwide	1.0000	start_turn_completed
nag_man	wh_main_effect_campaign_enable_attrition	province_to_force_enemy_provincewide	50.0000	start_turn_completed
nag_death_shambling_horde	wh_dlc08_effect_force_all_campaign_upkeep_hidden	force_to_force_own	-200.0000	start_turn_completed
nag_death_shambling_horde	nag_death_shambling_horde_free_upkeep	force_to_force_own	1.0000	start_turn_completed
nag_divinity_rite_bundle_region_undead_rises	wh3_main_effect_corruption_vampiric_events_bad	region_to_province_own	20.0000	start_turn_completed
nag_nagash_rite_bundle_region_super_growth	wh_main_effect_province_growth_events	region_to_province_own	580.0000	start_turn_completed
