effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/rhox_nagash					
nag_effect_patrol_dummy	hunter_effect_icons_wanted_level.png	1	hunter_effect_icons_wanted_level.png	campaign	true
nag_effect_warpstone_token	icon_ritual_currency_skv_bundle.png	1	icon_ritual_currency_skv_bundle.png	campaign	true
nag_effect_horde_growth	growth.png	140	growth.png	campaign	true
nag_effect_horde_replenishment	replenishment.png	101	replenishment.png	campaign	true
nag_effect_landmark_nagash_buff_golems_defence	defence.png	111	defence.png	battle	true
nag_effect_landmark_nagash_buff_ethereal_magic_res	resistance_magic.png	704	resistance_magic.png	battle	true
nag_effect_landmark_nagash_buff_morghasts_regen	general_ability.png	600	general_ability.png	battle	true
nag_effect_landmark_nagash_enemy_undead_hex	morale.png	61	morale.png	battle	false
nag_effect_landmark_nagash_character_wom_reserves	magic.png	10	magic.png	battle	true
nag_effect_landmark_arkhan_character_melee	melee.png	69	melee.png	battle	true
nag_effect_landmark_arkhan_character_defence	defence.png	111	defence.png	battle	true
nag_effect_landmark_arkhan_character_wom_reserves	magic.png	10	magic.png	battle	true
nag_effect_landmark_arkhan_buff_magic_attacks_scorpion	magical_attacks.png	888	magical_attacks.png	campaign	true
nag_effect_landmark_arkhan_buff_magic_attacks_warshpinx	magical_attacks.png	888	magical_attacks.png	campaign	true
nag_effect_landmark_manny_spell_cost	spell_ability.png	66	spell_ability.png	battle	false
nag_effect_landmark_manny_movement	campaign_movement.png	13	campaign_movement.png	campaign	true
nag_effect_landmark_manny_recruit_rank_knights	experience.png	120	experience.png	campaign	true
nag_effect_landmark_manny_character_wom_reserves	magic.png	10	magic.png	battle	true
nag_effect_landmark_neffy_buff_ushabti_melee	melee.png	69	melee.png	battle	true
nag_effect_landmark_neffy_buff_ushabti_defence	defence.png	111	defence.png	battle	true
nag_effect_landmark_neffy_buff_bats_refuse_to_die	general_ability.png	600	general_ability.png	battle	true
nag_effect_landmark_neffy_horde_replenishment	replenishment.png	101	replenishment.png	campaign	true
nag_effect_landmark_krell_attrition_immunity	disaster.png	101	disaster.png	campaign	true
nag_effect_landmark_krell_buff_guard_melee	melee.png	69	melee.png	battle	true
nag_effect_landmark_krell_buff_guard_phys	resistance_physical.png	102	resistance_physical.png	battle	true
nag_effect_landmark_vlad_guerrilla_deployment	attribute_guerrilla_deploy.png	620	attribute_guerrilla_deploy.png	battle	true
nag_effect_landmark_vlad_movement	campaign_movement.png	13	campaign_movement.png	campaign	true
nag_effect_landmark_vlad_buff_dags_fatigue_res	vigour.png	101	vigour.png	battle	false
nag_effect_landmark_vlad_buff_dags_melee	melee.png	69	melee.png	battle	true
nag_effect_landmark_luthor_character_defence	defence_character.png	55	defence_character.png	battle	true
nag_effect_landmark_luthor_magic_resistance	resistance_magic.png	704	resistance_magic.png	battle	true
nag_effect_force_army_battle_melee_attack_all_defending	melee.png	3	melee.png	battle	true
nag_effect_force_army_battle_melee_defence_all_defending	defence.png	4	defence.png	battle	true
nag_effect_agent_enable_recruitment_champion_tmb	tomb_prince.png	3	tomb_prince.png	campaign	true
nag_effect_agent_enable_recruitment_wizard_tmb	wizard.png	3	wizard.png	campaign	true
nag_effect_agent_enable_recruitment_special_wizard_tmb	wizard.png	3	wizard.png	campaign	true
nag_effect_agent_enable_recruitment_dignitary_vmp	vampire.png	3	vampire.png	campaign	true
nag_effect_agent_enable_recruitment_champion_vmp	wight_king.png	3	wight_king.png	campaign	true
nag_effect_agent_enable_recruitment_engineer_cst	gunnery_wight.png	3	gunnery_wight.png	campaign	true
nag_effect_agent_enable_recruitment_archai	saurus_scar_veteran.png	3	saurus_scar_veteran.png	campaign	true
nag_effect_agent_cap_increase_liche_priest	wizard.png	4	wizard.png	campaign	true
nag_effect_agent_cap_increase_gunnery_wight	gunnery_wight.png	4	gunnery_wight.png	campaign	true
nag_effect_agent_cap_increase_vampire	vampire.png	4	vampire.png	campaign	true
nag_effect_agent_cap_increase_prince_wight	tomb_prince.png	4	tomb_prince.png	campaign	true
nag_effect_agent_cap_increase_archai	saurus_scar_veteran.png	4	saurus_scar_veteran.png	campaign	true
nag_ability_enable_batocalypse	general_ability.png	101	general_ability.png	battle	true
nag_ability_enable_endless_tomb	general_ability.png	101	general_ability.png	battle	true
nag_ability_enable_endless_tomb_hidden		0		battle	true
nag_building_effect_cannot_grow_enable	no_growth.png	500	no_growth.png	campaign	true
nag_building_effect_cannot_grow_disable	growth.png	500	growth.png	campaign	true
nag_ability_enable_wrath_of_the_gods	general_ability.png	101	general_ability.png	battle	true
nag_ability_enable_blyramid_itself		0		battle	true
nag_effect_upkeep_cost_reduction_crypt_ghouls	military_spending.png	105	military_spending.png	campaign	false
nag_effect_enable_ability_blood_queen_dignitary_vmp	general_ability.png	600	general_ability.png	battle	true
nag_effect_recruit_rank_nag_skeletons	experience.png	120	experience.png	campaign	true
nag_effect_recruit_rank_nag_ghouls_zombies	experience.png	120	experience.png	campaign	true
nag_effect_resource_xp_rank_ethereal	experience.png	120	experience.png	campaign	true
nag_effect_resource_xp_rank_nagashizzar	experience.png	120	experience.png	campaign	true
nag_effect_resource_xp_rank_nehek	experience.png	120	experience.png	campaign	true
nag_effect_resource_xp_rank_beasts	experience.png	120	experience.png	campaign	true
nag_effect_resource_xp_rank_count	experience.png	120	experience.png	campaign	true
nag_effect_resource_xp_rank_construct	experience.png	120	experience.png	campaign	true
nag_effect_resource_xp_rank_zombie	experience.png	120	experience.png	campaign	true
