faction	unit_purchasable_effect
#faction_banned_unit_purchasable_effects_tables;0;db/faction_banned_unit_purchasable_effects_tables/rhox_nagash	
wh2_dlc11_vmp_the_barrow_legion	rhox_nagash_kalledria_physical_resistance
wh2_dlc16_vmp_lahmian_sisterhood	rhox_nagash_kalledria_physical_resistance
wh2_main_rogue_vmp_heirs_of_mourkain	rhox_nagash_kalledria_physical_resistance
wh2_main_vmp_necrarch_brotherhood	rhox_nagash_kalledria_physical_resistance
wh2_main_vmp_strygos_empire	rhox_nagash_kalledria_physical_resistance
wh2_main_vmp_the_silver_host	rhox_nagash_kalledria_physical_resistance
wh3_dlc21_vmp_jiangshi_rebels	rhox_nagash_kalledria_physical_resistance
wh3_main_ie_vmp_sires_of_mourkain	rhox_nagash_kalledria_physical_resistance
wh3_main_vmp_caravan_of_blue_roses	rhox_nagash_kalledria_physical_resistance
wh3_main_vmp_lahmian_sisterhood	rhox_nagash_kalledria_physical_resistance
wh3_main_vmp_nagashizzar	rhox_nagash_kalledria_physical_resistance
wh_main_vmp_mousillon	rhox_nagash_kalledria_physical_resistance
wh_main_vmp_rival_sylvanian_vamps	rhox_nagash_kalledria_physical_resistance
wh_main_vmp_schwartzhafen	rhox_nagash_kalledria_physical_resistance
wh_main_vmp_vampire_counts	rhox_nagash_kalledria_physical_resistance
wh_main_vmp_vampire_rebels	rhox_nagash_kalledria_physical_resistance
wh_main_vmp_waldenhof	rhox_nagash_kalledria_physical_resistance
mixer_vmp_helsnicht	rhox_nagash_kalledria_physical_resistance
ovn_vmp_blood_dragons	rhox_nagash_kalledria_physical_resistance
mixer_vmp_the_curse_of_nongchang	rhox_nagash_kalledria_physical_resistance
mixer_vmp_islanders_of_the_moon	rhox_nagash_kalledria_physical_resistance
rhox_vmp_the_everliving	rhox_nagash_kalledria_physical_resistance
cr_vmp_boradin_coven	rhox_nagash_kalledria_physical_resistance
cr_vmp_ghosts_of_glanborielle	rhox_nagash_kalledria_physical_resistance
cr_vmp_rametep_dynasty	rhox_nagash_kalledria_physical_resistance
cr_vmp_the_everliving	rhox_nagash_kalledria_physical_resistance
cr_vmp_wamphyro_cabal	rhox_nagash_kalledria_physical_resistance
wh2_dlc11_vmp_the_barrow_legion	rhox_nagash_kalledria_magical_resistance
wh2_dlc16_vmp_lahmian_sisterhood	rhox_nagash_kalledria_magical_resistance
wh2_main_rogue_vmp_heirs_of_mourkain	rhox_nagash_kalledria_magical_resistance
wh2_main_vmp_necrarch_brotherhood	rhox_nagash_kalledria_magical_resistance
wh2_main_vmp_strygos_empire	rhox_nagash_kalledria_magical_resistance
wh2_main_vmp_the_silver_host	rhox_nagash_kalledria_magical_resistance
wh3_dlc21_vmp_jiangshi_rebels	rhox_nagash_kalledria_magical_resistance
wh3_main_ie_vmp_sires_of_mourkain	rhox_nagash_kalledria_magical_resistance
wh3_main_vmp_caravan_of_blue_roses	rhox_nagash_kalledria_magical_resistance
wh3_main_vmp_lahmian_sisterhood	rhox_nagash_kalledria_magical_resistance
wh3_main_vmp_nagashizzar	rhox_nagash_kalledria_magical_resistance
wh_main_vmp_mousillon	rhox_nagash_kalledria_magical_resistance
wh_main_vmp_rival_sylvanian_vamps	rhox_nagash_kalledria_magical_resistance
wh_main_vmp_schwartzhafen	rhox_nagash_kalledria_magical_resistance
wh_main_vmp_vampire_counts	rhox_nagash_kalledria_magical_resistance
wh_main_vmp_vampire_rebels	rhox_nagash_kalledria_magical_resistance
wh_main_vmp_waldenhof	rhox_nagash_kalledria_magical_resistance
mixer_vmp_helsnicht	rhox_nagash_kalledria_magical_resistance
ovn_vmp_blood_dragons	rhox_nagash_kalledria_magical_resistance
mixer_vmp_the_curse_of_nongchang	rhox_nagash_kalledria_magical_resistance
mixer_vmp_islanders_of_the_moon	rhox_nagash_kalledria_magical_resistance
rhox_vmp_the_everliving	rhox_nagash_kalledria_magical_resistance
cr_vmp_boradin_coven	rhox_nagash_kalledria_magical_resistance
cr_vmp_ghosts_of_glanborielle	rhox_nagash_kalledria_magical_resistance
cr_vmp_rametep_dynasty	rhox_nagash_kalledria_magical_resistance
cr_vmp_the_everliving	rhox_nagash_kalledria_magical_resistance
cr_vmp_wamphyro_cabal	rhox_nagash_kalledria_magical_resistance
