ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/nagash_units_vanilla	
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_inf_skeleton_archers_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_inf_skeleton_archers_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_inf_skeleton_spearmen_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_inf_skeleton_spearmen_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_inf_skeleton_warriors_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_inf_skeleton_warriors_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_inf_nehekhara_warriors_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_inf_nehekhara_warriors_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_inf_tomb_guard_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_inf_tomb_guard_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_inf_tomb_guard_1
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_inf_tomb_guard_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_cav_skeleton_horsemen_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_cav_skeleton_horsemen_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_cav_skeleton_horsemen_archers_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_cav_skeleton_horsemen_archers_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_cav_nehekhara_horsemen_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_cav_nehekhara_horsemen_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_cav_necropolis_knights_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_cav_necropolis_knights_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_cav_necropolis_knights_1
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_cav_necropolis_knights_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_veh_skeleton_archer_chariot_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_veh_skeleton_archer_chariot_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_veh_skeleton_chariot_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_veh_skeleton_chariot_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_mon_ushabti_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_mon_ushabti_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_mon_ushabti_1
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_mon_ushabti_1
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_mon_sepulchral_stalkers_0
wh2_dlc09_unit_passive_unstable_sand	nag_vanilla_tmb_mon_sepulchral_stalkers_0
wh2_dlc09_unit_passive_unstable_mark_ii_sand	nag_vanilla_tmb_mon_tomb_scorpion_0
