feature	force_type
#military_force_type_feature_junctions_tables;0;db/military_force_type_feature_junctions_tables/rhox_nagash	
character_bound	nag_bp_horde
general_is_irreplaceable	nag_bp_horde
character_bound	nag_husk_horde
general_is_irreplaceable	nag_husk_horde
character_bound	nag_arkhan_horde
general_is_irreplaceable	nag_arkhan_horde
character_bound	nag_vlad_horde
general_is_irreplaceable	nag_vlad_horde
character_bound	nag_mannfred_horde
general_is_irreplaceable	nag_mannfred_horde
character_bound	nag_harkon_horde
general_is_irreplaceable	nag_harkon_horde
character_bound	nag_krell_horde
general_is_irreplaceable	nag_krell_horde
character_bound	nag_neferata_horde
general_is_irreplaceable	nag_neferata_horde
character_bound	nag_dieter_horde
general_is_irreplaceable	nag_dieter_horde
character_bound	nag_azhag_horde
general_is_irreplaceable	nag_azhag_horde
