key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	trigger_radius	quest_character	quest_mission_final	sticky_by_default
#missions_tables;6;db/missions_tables/nagash																
nagash_intro_1	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nagash_intro_2	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nagash_intro_3	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nagash_intro_4	false			SCRIPTED	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nagash_intro_5	false			HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_nagash_early_game_engage_force_army_skaven	false	Coming from their lairs, the Skaven invade! Send these pests back to their fetid nests!	Cut off the Tail	ENGAGE_FORCE	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_nagash_early_game_warpstone_mines	false	"Your majesty, it is wise to construct certain buildings. Their function will be of use in the coming rituals and will ensure success in taking back control of the Black Pyramid."	Secure the Warpstone Mines	CONSTRUCT_N_OF_A_BUILDING	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_nagash_early_game_raise_army	false	"More warriors are needed, sire. For us to enact the greatness we desire it is time to raise a new legion."\n\nLearn more about raising armies [[url:script_link_campaign_raising_forces]][[tooltip:{{tt:tooltip_campaign_raising_forces}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Legions of Nagash	RAISE_FORCE	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_nagash_early_game_capture_settlement	false	"Master, the Skaven menace, Clan Mordkin, pose a threat to us. I advise we conquer their stronghold in this region. This will immediately weaken their position and strenghten our own."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Re-desolation of Nagash	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_nagash_early_game_long_march	false	Muster your forces at the pass between Blightwater and the Devil's Backbone, we will push through the passage under the Charnel Valley, Arkhan the Black, and his forces will be waiting for us in the Ash Valley, where we will combine our Legions and march on the Black Pyramid and regain our former might.	The Long March	MOVE_TO_REGION	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_nagash_capture_settlement_black_pyramid	false	March on the Black Pyramid, restore your true power and enact vengence on this weak world of the living.	Black Pyramid of Nagash	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	true	Military		0	0	false	0.0		false	false
nag_nagash_capture_settlement_khemri	false	"Supreme Lord, the Black Pyarmid is yours, as it always has been, but we must move towards our goal of completing the Great Ritual, take the city of Khemri."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	City of Kings	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_nagash_capture_settlement_mourkain	false	"Supreme Lord, the city of Mourgheim will be of great value to us, restore the home of the cult of Nagash to it's former glory, long live Mourkaine."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Place of Death	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_nagash_capture_settlement_drakenhof	false	"Supreme and masterful Lord of the dead, Mannfred Von Carstein sits in his accursed citedal, both he and his holding would make for a great prize, take Castle Draknehof."\n\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	Accursed Citadel	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
