unique_id	factor	resource	minimum	maximum	specific_faction_set
#pooled_resource_factor_junctions_tables;2;db/pooled_resource_factor_junctions_tables/rhox_nagash					
nag_warpstone_rituals	nag_nagash_rituals	nag_warpstone	-2147483647	2147483647	
nag_warpstone_buildings	nag_warpstone_buildings	nag_warpstone	-2147483647	2147483647	
nag_warpstone_refund	nag_warpstone_refund	nag_warpstone	-2147483647	2147483647	
nag_grand_spell_01_recharge	nag_grand_spell_01_recharge	nag_grand_spell_01	-2147483647	2147483647	
nag_grand_spell_02_recharge	nag_grand_spell_02_recharge	nag_grand_spell_02	-2147483647	2147483647	
nag_grand_spell_03_recharge	nag_grand_spell_03_recharge	nag_grand_spell_03	-2147483647	2147483647	
nag_warpstone_other	wh2_main_resource_factor_other	nag_warpstone	-2147483647	2147483647	
rhox_nagash_influence_other	other	rhox_nagash_influence	-2147483647	2147483647	
rhox_nagash_lahmia_coven_influence_battles_against_lahmia	rhox_nagash_battles_against_lahmia	rhox_nagash_lahmia_coven_influence	0	50	
rhox_nagash_lahmia_coven_influence_diplomacy_with_lahmia	rhox_nagash_diplomacy_with_lahmia	rhox_nagash_lahmia_coven_influence	0	50	
rhox_nagash_lahmia_coven_influence_gift_of_lahmia	rhox_nagash_gift_of_neferata	rhox_nagash_lahmia_coven_influence	0	2147483647	
rhox_nagash_lahmia_coven_influence_other	other	rhox_nagash_lahmia_coven_influence	-2147483647	2147483647	
rhox_nagash_lahmia_coven_influence_resistance_culture	rhox_nagash_resistance_to_coven_influence_cultural	rhox_nagash_lahmia_coven_influence	-2147483647	0	
rhox_nagash_lahmia_coven_influence_resistance_regions	rhox_nagash_resistance_to_coven_influence_regions	rhox_nagash_lahmia_coven_influence	-2147483647	0	
rhox_nagash_lahmia_coven_influence_vampiric_corruption	rhox_nagash_high_vampiric_corruption	rhox_nagash_lahmia_coven_influence	0	2147483647	
rhox_nagash_lahmia_vampiric_influence_cults	cults	rhox_nagash_lahmia_coven_influence	0	2147483647	
rhox_nagash_lahmia_corruption_vampiric_coven_influence	rhox_nagash_lahmia_seductive_coven_influence	wh3_main_corruption_vampiric	0	5	
