building_chain	settlement_type	exclude
#settlement_type_to_building_chains_junctions_tables;1;db/settlement_type_to_building_chains_junctions_tables/rhox_nagash		
nag_allied_outpost	wh3_dlc23_chd_factory	false
nag_allied_outpost	wh3_dlc23_chd_outpost	false
nag_allied_outpost	wh3_dlc23_chd_tower	false
nag_allied_outpost	wh3_main_dae_khorne	false
nag_allied_outpost	wh3_main_dae_nurgle	false
nag_allied_outpost	wh3_main_dae_slaanesh	false
nag_allied_outpost	wh3_main_dae_tzeentch	false
rhox_nagash_lahmia_cult	wh3_dlc23_chd_factory	false
rhox_nagash_lahmia_vassal	wh3_dlc23_chd_factory	false
rhox_nagash_lahmia_rebel	wh3_dlc23_chd_factory	false
rhox_nagash_lahmia_cult	wh3_dlc23_chd_outpost	false
rhox_nagash_lahmia_vassal	wh3_dlc23_chd_outpost	false
rhox_nagash_lahmia_rebel	wh3_dlc23_chd_outpost	false
rhox_nagash_lahmia_cult	wh3_dlc23_chd_tower	false
rhox_nagash_lahmia_vassal	wh3_dlc23_chd_tower	false
rhox_nagash_lahmia_rebel	wh3_dlc23_chd_tower	false
nag_allied_outpost	wh3_dlc27_dechala_pleasure_palace	false
nag_allied_outpost	wh3_dlc27_dechala_thrall_camp	false
nag_allied_outpost	wh3_dlc27_dechala_war_pit	false
nag_allied_outpost	wh3_dlc27_norsca_altars_kho	false
nag_allied_outpost	wh3_dlc27_norsca_altars_nur	false
nag_allied_outpost	wh3_dlc27_norsca_altars_sla	false
nag_allied_outpost	wh3_dlc27_norsca_altars_tze	false
nag_allied_outpost	wh3_dlc27_norsca_altars_und	false
nag_allied_outpost	wh3_dlc27_norsca_core_settlement	false
rhox_nagash_lahmia_cult	wh3_dlc27_dechala_pleasure_palace	false
rhox_nagash_lahmia_cult	wh3_dlc27_dechala_thrall_camp	false
rhox_nagash_lahmia_cult	wh3_dlc27_dechala_war_pit	false
rhox_nagash_lahmia_cult	wh3_dlc27_norsca_altars_kho	false
rhox_nagash_lahmia_cult	wh3_dlc27_norsca_altars_nur	false
rhox_nagash_lahmia_cult	wh3_dlc27_norsca_altars_sla	false
rhox_nagash_lahmia_cult	wh3_dlc27_norsca_altars_tze	false
rhox_nagash_lahmia_cult	wh3_dlc27_norsca_altars_und	false
rhox_nagash_lahmia_cult	wh3_dlc27_norsca_core_settlement	false
rhox_nagash_lahmia_vassal	wh3_dlc27_dechala_pleasure_palace	false
rhox_nagash_lahmia_vassal	wh3_dlc27_dechala_thrall_camp	false
rhox_nagash_lahmia_vassal	wh3_dlc27_dechala_war_pit	false
rhox_nagash_lahmia_vassal	wh3_dlc27_norsca_altars_kho	false
rhox_nagash_lahmia_vassal	wh3_dlc27_norsca_altars_nur	false
rhox_nagash_lahmia_vassal	wh3_dlc27_norsca_altars_sla	false
rhox_nagash_lahmia_vassal	wh3_dlc27_norsca_altars_tze	false
rhox_nagash_lahmia_vassal	wh3_dlc27_norsca_altars_und	false
rhox_nagash_lahmia_vassal	wh3_dlc27_norsca_core_settlement	false
rhox_nagash_lahmia_rebel	wh3_dlc27_dechala_pleasure_palace	false
rhox_nagash_lahmia_rebel	wh3_dlc27_dechala_thrall_camp	false
rhox_nagash_lahmia_rebel	wh3_dlc27_dechala_war_pit	false
rhox_nagash_lahmia_rebel	wh3_dlc27_norsca_altars_kho	false
rhox_nagash_lahmia_rebel	wh3_dlc27_norsca_altars_nur	false
rhox_nagash_lahmia_rebel	wh3_dlc27_norsca_altars_sla	false
rhox_nagash_lahmia_rebel	wh3_dlc27_norsca_altars_tze	false
rhox_nagash_lahmia_rebel	wh3_dlc27_norsca_altars_und	false
rhox_nagash_lahmia_rebel	wh3_dlc27_norsca_core_settlement	false
