id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables	0	db/slot_template_to_building_superchain_junctions_tables/jvj_natasha_outposts
57010000	nag_outpost_primary_research	wh_dlc15_special_plain_of_bones_fortress_of_vorag_secondary
57010001	nag_outpost_primary_research	wh2_dlc14_special_gnoblar_country_flayed_rock_secondary
57010002	nag_outpost_primary_research	major_secondary_pastures_kingdom_of_beasts_temple_of_skulls
57010003	nag_outpost_primary_research	major_secondary_dragon_isles_dread_rock
57010004	nag_outpost_primary_research	wh2_main_special_lahmia_secondary
57010005	nag_outpost_primary_research	major_norsca_southern_dark_lands_desolation_of_drakenmoor
57010006	nag_outpost_primary_research	major_secondary_southlands_jungle_teotiqua
57010007	nag_outpost_primary_research	major_secondary_crater_of_the_walking_dead_rasetra
57010008	nag_outpost_primary_research	wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary
57010009	nag_outpost_primary_research	major_secondary_northern_dark_lands_silver_pinnacle
57010010	nag_outpost_primary_research	wh_main_special_mount_gunbad_secondary
57010011	nag_outpost_primary_research	wh2_main_special_karak_zorn_secondary
57010012	nag_outpost_primary_research	wh_main_special_karak_azul_secondary
57010013	nag_outpost_primary_research	major_norsca_iron_goromandy_mountains_baersonlings_camp
57010014	nag_outpost_primary_research	wh_main_special_karak_ungor_secondary
57010015	nag_outpost_primary_research	wh2_main_special_karag_orrud_secondary
57010016	nag_outpost_primary_research	wh_main_special_eight_peaks_secondary
57010017	nag_outpost_primary_research	wh_main_special_black_crag_secondary
57010018	nag_outpost_primary_research	wh_main_special_karak_kadrin_2_secondary
57010019	nag_outpost_primary_research	wh_main_special_karak_azgal_secondary
57010020	nag_outpost_primary_research	wh2_dlc09_special_ka_sabar_secondary
57010021	nag_outpost_primary_research	wh2_main_oreons_camp_secondary
57010022	nag_outpost_primary_research	wh_main_special_zhufbar_secondary
57010023	nag_outpost_primary_research	wh_main_special_karaz_a_karak_secondary
57010024	nag_outpost_primary_research	wh_main_special_praag_secondary
57010025	nag_outpost_primary_research	wh_main_special_kislev_secondary
57010026	nag_outpost_primary_research	wh_main_special_castle_drakenhof_secondary
57010027	nag_outpost_primary_research	wh2_main_special_kraka_drak_secondary
