technology	required_building_level
#technology_required_building_levels_junctions_tables;0;db/technology_required_building_levels_junctions_tables/nagash	
nag_location_nagashizzar	nag_outpost_special_nagashizzar_1
nag_location_mourkain	nag_outpost_special_mourkain_1
nag_location_lahmia	nag_outpost_special_lahmia_1
nag_location_khemri	nag_outpost_special_khemri_1
nag_location_awakening	nag_outpost_special_awakening_1
nag_location_drakenhof	nag_outpost_special_drakenhof_1
nag_location_quintex	nag_outpost_special_quintex_1
nag_nagash_ultimate	nag_outpost_special_nagashizzar_1
nag_nagash_ultimate	nag_outpost_special_mourkain_1
nag_nagash_ultimate	nag_outpost_special_lahmia_1
nag_nagash_ultimate	nag_outpost_special_khemri_1
nag_nagash_ultimate	nag_outpost_special_awakening_1
nag_nagash_ultimate	nag_outpost_special_drakenhof_1
nag_nagash_ultimate	nag_outpost_special_quintex_1
nag_arkhan_battle_1	nag_outpost_special_khemri_1
nag_arkhan_battle_2	nag_outpost_special_khemri_2
nag_arkhan_battle_3	nag_outpost_special_khemri_3
nag_arkhan_proclamation	nag_outpost_special_khemri_3
nag_krell_battle_1	nag_outpost_special_mourkain_1
nag_krell_battle_2	nag_outpost_special_mourkain_2
nag_krell_battle_3	nag_outpost_special_mourkain_3
nag_krell_proclamation	nag_outpost_special_mourkain_3
nag_luthor_battle_1	nag_outpost_special_awakening_1
nag_luthor_battle_2	nag_outpost_special_awakening_2
nag_luthor_battle_3	nag_outpost_special_awakening_3
nag_luthor_proclamation	nag_outpost_special_awakening_3
nag_mannfred_battle_1	nag_outpost_special_drakenhof_1
nag_mannfred_battle_2	nag_outpost_special_drakenhof_2
nag_mannfred_battle_3	nag_outpost_special_drakenhof_3
nag_mannfred_proclamation	nag_outpost_special_drakenhof_3
nag_neferata_battle_1	nag_outpost_special_lahmia_1
nag_neferata_battle_2	nag_outpost_special_lahmia_2
nag_neferata_battle_3	nag_outpost_special_lahmia_3
nag_neferata_proclamation	nag_outpost_special_lahmia_3
nag_vlad_battle_1	nag_outpost_special_drakenhof_1
nag_vlad_battle_2	nag_outpost_special_drakenhof_2
nag_vlad_battle_3	nag_outpost_special_drakenhof_3
nag_vlad_proclamation	nag_outpost_special_drakenhof_3
