bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/rhox_nagash_vanilla	
anti_infantry	nag_cha_tomb_king_0
armoured_and_shielded	nag_cha_tomb_king_0
melee_expert	nag_cha_tomb_king_0
anti_infantry	nag_cha_tomb_king_1
armoured_and_shielded	nag_cha_tomb_king_1
melee_expert	nag_cha_tomb_king_1
anti_infantry	nag_cha_tomb_king_2
armoured	nag_cha_tomb_king_2
melee_expert	nag_cha_tomb_king_2
anti_infantry	nag_cha_tomb_king_3
armoured	nag_cha_tomb_king_3
melee_expert	nag_cha_tomb_king_3
terror	nag_cha_tomb_king_3
anti_large	nag_cha_tomb_prince_0
armour_piercing	nag_cha_tomb_prince_0
armoured_and_shielded	nag_cha_tomb_prince_0
melee_expert	nag_cha_tomb_prince_0
anti_large	nag_cha_tomb_prince_1
armour_piercing	nag_cha_tomb_prince_1
armoured_and_shielded	nag_cha_tomb_prince_1
melee_expert	nag_cha_tomb_prince_1
anti_infantry	nag_cha_tomb_prince_2
armoured	nag_cha_tomb_prince_2
melee_expert	nag_cha_tomb_prince_2
spellcaster	nag_cha_liche_priest_death_0
spellcaster	nag_cha_liche_priest_death_1
spellcaster	nag_cha_liche_priest_light_0
spellcaster	nag_cha_liche_priest_light_1
spellcaster	nag_cha_liche_priest_nehekhara_0
spellcaster	nag_cha_liche_priest_nehekhara_1
spellcaster	nag_cha_liche_priest_shadow_0
spellcaster	nag_cha_liche_priest_shadow_1
spellcaster	nag_cha_liche_priest_undeath_0
spellcaster	nag_cha_liche_priest_undeath_1
good_range	nag_vanilla_tmb_inf_skeleton_archers_0
anti_large	nag_vanilla_tmb_inf_skeleton_spearmen_0
meat_shield	nag_vanilla_tmb_inf_skeleton_spearmen_0
shielded	nag_vanilla_tmb_inf_skeleton_spearmen_0
meat_shield	nag_vanilla_tmb_inf_skeleton_warriors_0
shielded	nag_vanilla_tmb_inf_skeleton_warriors_0
anti_infantry	nag_vanilla_tmb_inf_nehekhara_warriors_0
damage_dealer	nag_vanilla_tmb_inf_nehekhara_warriors_0
anti_infantry	nag_vanilla_tmb_inf_tomb_guard_0
armoured_and_shielded	nag_vanilla_tmb_inf_tomb_guard_0
anti_large	nag_vanilla_tmb_inf_tomb_guard_1
armoured_and_shielded	nag_vanilla_tmb_inf_tomb_guard_1
charge_reflector_vs_large	nag_vanilla_tmb_inf_tomb_guard_1
shielded	nag_vanilla_tmb_cav_skeleton_horsemen_0
vanguard_deployment	nag_vanilla_tmb_cav_skeleton_horsemen_0
very_fast	nag_vanilla_tmb_cav_skeleton_horsemen_0
vanguard_deployment	nag_vanilla_tmb_cav_skeleton_horsemen_archers_0
very_fast	nag_vanilla_tmb_cav_skeleton_horsemen_archers_0
anti_infantry	nag_vanilla_tmb_cav_nehekhara_horsemen_0
shielded	nag_vanilla_tmb_cav_nehekhara_horsemen_0
armour_piercing	nag_vanilla_tmb_cav_necropolis_knights_0
armoured_and_shielded	nag_vanilla_tmb_cav_necropolis_knights_0
poison	nag_vanilla_tmb_cav_necropolis_knights_0
anti_large	nag_vanilla_tmb_cav_necropolis_knights_1
armour_piercing	nag_vanilla_tmb_cav_necropolis_knights_1
armoured_and_shielded	nag_vanilla_tmb_cav_necropolis_knights_1
poison	nag_vanilla_tmb_cav_necropolis_knights_1
anti_infantry	nag_vanilla_tmb_veh_skeleton_archer_chariot_0
anti_infantry	nag_vanilla_tmb_veh_skeleton_chariot_0
anti_infantry	nag_vanilla_tmb_mon_ushabti_0
armour_piercing	nag_vanilla_tmb_mon_ushabti_0
armoured	nag_vanilla_tmb_mon_ushabti_0
armoured_and_shielded	nag_vanilla_tmb_mon_ushabti_0
armour_piercing	nag_vanilla_tmb_mon_ushabti_1
armour_piercing_ranged	nag_vanilla_tmb_mon_ushabti_1
armoured	nag_vanilla_tmb_mon_ushabti_1
armoured_and_shielded	nag_vanilla_tmb_mon_ushabti_1
anti_large	nag_vanilla_tmb_mon_sepulchral_stalkers_0
armoured_and_shielded	nag_vanilla_tmb_mon_sepulchral_stalkers_0
stalk	nag_vanilla_tmb_mon_sepulchral_stalkers_0
vanguard_deployment	nag_vanilla_tmb_mon_sepulchral_stalkers_0
anti_infantry	nag_vanilla_tmb_mon_tomb_scorpion_0
armour_piercing	nag_vanilla_tmb_mon_tomb_scorpion_0
armoured_and_shielded	nag_vanilla_tmb_mon_tomb_scorpion_0
terror	nag_vanilla_tmb_mon_tomb_scorpion_0
anti_infantry	nag_vanilla_tmb_mon_khemrian_warsphinx_0
armour_piercing	nag_vanilla_tmb_mon_khemrian_warsphinx_0
armoured_and_shielded	nag_vanilla_tmb_mon_khemrian_warsphinx_0
terror	nag_vanilla_tmb_mon_khemrian_warsphinx_0
anti_large	nag_vanilla_tmb_mon_necrosphinx_0
armour_piercing	nag_vanilla_tmb_mon_necrosphinx_0
armoured_and_shielded	nag_vanilla_tmb_mon_necrosphinx_0
terror	nag_vanilla_tmb_mon_necrosphinx_0
anti_large	nag_vanilla_tmb_mon_bone_giant_0
armour_piercing_ranged	nag_vanilla_tmb_mon_bone_giant_0
armoured_and_shielded	nag_vanilla_tmb_mon_bone_giant_0
terror	nag_vanilla_tmb_mon_bone_giant_0
anti_infantry	nag_vanilla_tmb_art_screaming_skull_catapult_0
armour_piercing_ranged	nag_vanilla_tmb_art_screaming_skull_catapult_0
armour_piercing_ranged	nag_vanilla_tmb_art_casket_of_souls_0
armoured	nag_vanilla_tmb_art_casket_of_souls_0
light_of_death	nag_vanilla_tmb_art_casket_of_souls_0
meat_shield	nag_vanilla_vmp_inf_zombie
shielded	nag_vanilla_vmp_inf_skeleton_warriors_0
anti_large	nag_vanilla_vmp_inf_skeleton_warriors_1
charge_reflector_vs_large	nag_vanilla_vmp_inf_skeleton_warriors_1
shielded	nag_vanilla_vmp_inf_skeleton_warriors_1
damage_dealer	nag_vanilla_vmp_inf_crypt_ghouls
poison	nag_vanilla_vmp_inf_crypt_ghouls
weak_anti_armour	nag_vanilla_vmp_inf_crypt_ghouls
armour_piercing	nag_vanilla_vmp_inf_cairn_wraiths
ethereal	nag_vanilla_vmp_inf_cairn_wraiths
terror	nag_vanilla_vmp_inf_cairn_wraiths
anti_infantry	nag_vanilla_vmp_inf_grave_guard_0
armoured_and_shielded	nag_vanilla_vmp_inf_grave_guard_0
anti_infantry	nag_vanilla_vmp_inf_grave_guard_1
armour_piercing	nag_vanilla_vmp_inf_grave_guard_1
armoured	nag_vanilla_vmp_inf_grave_guard_1
anti_infantry	nag_vanilla_vmp_cav_black_knights_0
armoured_and_shielded	nag_vanilla_vmp_cav_black_knights_0
anti_infantry	nag_vanilla_vmp_cav_black_knights_3
armoured_and_shielded	nag_vanilla_vmp_cav_black_knights_3
armour_piercing	nag_vanilla_vmp_cav_hexwraiths
ethereal	nag_vanilla_vmp_cav_hexwraiths
terror	nag_vanilla_vmp_cav_hexwraiths
vanguard_deployment	nag_vanilla_vmp_cav_hexwraiths
anti_large	nag_vanilla_vmp_cav_blood_knights_0
armoured_and_shielded	nag_vanilla_vmp_cav_blood_knights_0
frenzy	nag_vanilla_vmp_cav_blood_knights_0
magic_disruption	nag_vanilla_vmp_veh_corpse_cart_1
magical_aura	nag_vanilla_vmp_veh_corpse_cart_1
regeneration	nag_vanilla_vmp_veh_corpse_cart_1
magical_aura	nag_vanilla_vmp_veh_corpse_cart_2
mass_regeneration	nag_vanilla_vmp_veh_corpse_cart_2
regeneration	nag_vanilla_vmp_veh_corpse_cart_2
vanguard_deployment	nag_vanilla_vmp_mon_dire_wolves
very_fast	nag_vanilla_vmp_mon_dire_wolves
weak_anti_armour	nag_vanilla_vmp_mon_dire_wolves
weak_anti_armour	nag_vanilla_vmp_mon_fell_bats
armour_piercing	nag_vanilla_vmp_mon_vargheists
damage_dealer	nag_vanilla_vmp_mon_vargheists
frenzy	nag_vanilla_vmp_mon_vargheists
armour_piercing	nag_vanilla_vmp_mon_crypt_horrors
poison	nag_vanilla_vmp_mon_crypt_horrors
regeneration	nag_vanilla_vmp_mon_crypt_horrors
armour_piercing	nag_vanilla_vmp_mon_varghulf
poor_morale	nag_vanilla_vmp_mon_varghulf
regeneration	nag_vanilla_vmp_mon_varghulf
very_fast	nag_vanilla_vmp_mon_varghulf
aquatic	nag_vanilla_cst_inf_zombie_deckhands_mob_0
meat_shield	nag_vanilla_cst_inf_zombie_deckhands_mob_0
anti_large	nag_vanilla_cst_inf_zombie_deckhands_mob_1
aquatic	nag_vanilla_cst_inf_zombie_deckhands_mob_1
meat_shield	nag_vanilla_cst_inf_zombie_deckhands_mob_1
aquatic	nag_vanilla_cst_inf_zombie_gunnery_mob_0
fire_whilst_moving	nag_vanilla_cst_inf_zombie_gunnery_mob_0
