attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/rhox_nagash_wh2_copy	
berserk	berserker_infantry_cold
berserk	wh_berserk_fear
berserk	wh_berserk_fear_terror_undead
berserk	wh_berserker_infantry
cant_run	artillery
cant_run	artillery_cold
cant_run	wh2_cantRun_fear_undead
cant_run	wh2_cantRun_hideForest
cant_run	wh_amok_cantRun_fear_immuneToPsych
cant_run	wh_cantRun
cant_run	wh_cantRun_encourage
cant_run	wh_cantRun_encourage_heatResist
cant_run	wh_cantRun_expendable
cant_run	wh_cantRun_fear_terror
cant_run	wh_cantRun_heatResist
cant_run	wh_cantRun_immuneToPsych
cant_run	wh_cantRun_unbreakable
cant_run	wh_cantRun_undead
causes_fear	berserker_infantry_cold
causes_fear	elephant_indian
causes_fear	elephants
causes_fear	wh2_cantRun_fear_undead
causes_fear	wh2_chargeReflectorVsL_encourage_fear_hideForest_immuneToPsych
causes_fear	wh2_chargeReflectorVsL_encourage_fear_hideForest_undead
causes_fear	wh2_chargeReflector_encourage_fear_terror_undead
causes_fear	wh2_chargeReflector_fear_hideForest
causes_fear	wh2_chargeReflector_fear_hideForest_immuneToPsych
causes_fear	wh2_construct_fear_hideForest
causes_fear	wh2_construct_fear_hideForest_guerrilla_chargeReflectorVsL
causes_fear	wh2_construct_fear_hideForest_guerrilla_stalk_chargeReflectorVsL
causes_fear	wh2_construct_fear_terror
causes_fear	wh2_construct_fear_terror_hideForest_guerrilla
causes_fear	wh2_dlc14_encourage_fear_hideforest_unbreakable
causes_fear	wh2_dlc14_encourage_fear_terror_hideforest_strider_undead
causes_fear	wh2_dlc14_encourage_fear_terror_hideforest_unbreakable_strider
causes_fear	wh2_dlc14_encourage_fear_terror_immuneToPsych
causes_fear	wh2_dlc14_encourage_fear_terror_vanguard_hideforest_unbreakable_strider
causes_fear	wh2_dlc14_fear_hideforest_strider_undead
causes_fear	wh2_dlc14_fear_terror_hideforest_strider_undead
causes_fear	wh2_dlc14_fear_terror_vanguard_hideforest_strider_undead
causes_fear	wh2_dlc15_encourage_fear_ignore_trees
causes_fear	wh2_dlc15_encourage_fear_mountedFireMove_strider
causes_fear	wh2_dlc15_encourage_fear_strider
causes_fear	wh2_dlc15_encourage_fear_vanguard_ignore_trees
causes_fear	wh2_dlc15_encourage_fear_vanguard_strider
causes_fear	wh2_dlc15_encourage_hideForest_fear_ignore_trees
causes_fear	wh2_dlc15_encourage_hideForest_fear_strider
causes_fear	wh2_dlc15_encourage_hideForest_fear_terror_chargeReflectorVsL_ignore_trees
causes_fear	wh2_dlc15_encourage_hideForest_fear_terror_chargeReflectorVsL_strider
causes_fear	wh2_dlc15_encourage_hideForest_fear_terror_chargeReflector_ignore_trees_vanguard
