unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/rhox_nagash_azhag					
			vigpro_nagash_skeleton_orcs	nag_undead_green	false
			vigpro_nagash_skeleton_goblin_melee	nag_undead_green	false
			vigpro_nagash_skeleton_giant	nag_undead_green	false
			vigpro_nagash_skeleton_goblin_range	nag_undead_green	false
			vigpro_nagash_skeleton_troll_1h	nag_undead_green	false
			vigpro_nagash_skeleton_troll_2h	nag_undead_green	false
			vigpro_nagash_skeleton_orcs	nag_undead_green_morghast	false
			vigpro_nagash_skeleton_goblin_melee	nag_undead_green_morghast	false
			vigpro_nagash_skeleton_giant	nag_undead_green_morghast	false
			vigpro_nagash_skeleton_goblin_range	nag_undead_green_morghast	false
			vigpro_nagash_skeleton_troll_1h	nag_undead_green_morghast	false
			vigpro_nagash_skeleton_troll_2h	nag_undead_green_morghast	false
			nag_morghasts	nag_undead_green_morghast	false
			nag_morghasts_archai	nag_undead_green_morghast	false
			nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_army_infantry_azhag	false
			nag_vanilla_tmb_inf_skeleton_warriors_0	nag_army_infantry_azhag	false
			nag_vanilla_vmp_inf_cairn_wraiths	nag_army_infantry_azhag	false
			nag_nagashi_guard	nag_army_infantry_azhag	false
			nag_nagashi_guard_halb	nag_army_infantry_azhag	false
			nag_vanilla_tmb_inf_nehekhara_warriors_0	nag_army_infantry_azhag	false
			nag_vanilla_tmb_inf_tomb_guard_0	nag_army_infantry_azhag	false
			nag_vanilla_tmb_inf_tomb_guard_1	nag_army_infantry_azhag	false
			nag_vanilla_vmp_inf_zombie	nag_army_infantry_azhag	false
			nag_vanilla_vmp_inf_skeleton_warriors_0	nag_army_infantry_azhag	false
			nag_vanilla_vmp_inf_skeleton_warriors_1	nag_army_infantry_azhag	false
			nag_vanilla_vmp_inf_crypt_ghouls	nag_army_infantry_azhag	false
			nag_vanilla_vmp_inf_grave_guard_0	nag_army_infantry_azhag	false
			nag_vanilla_vmp_inf_grave_guard_1	nag_army_infantry_azhag	false
			nag_vanilla_cst_inf_zombie_deckhands_mob_0	nag_army_infantry_azhag	false
			nag_vanilla_cst_inf_zombie_deckhands_mob_1	nag_army_infantry_azhag	false
			nag_vanilla_cst_inf_depth_guard_0	nag_army_infantry_azhag	false
			nag_skeleton_reaper	nag_army_infantry_azhag	false
			nag_vanilla_tmb_mon_tomb_scorpion_0	nag_army_monsters_constructs_azhag	false
			nag_vanilla_tmb_mon_khemrian_warsphinx_0	nag_army_monsters_constructs_azhag	false
			nag_vanilla_tmb_mon_necrosphinx_0	nag_army_monsters_constructs_azhag	false
			nag_vanilla_tmb_mon_bone_giant_0	nag_army_monsters_constructs_azhag	false
			nag_vanilla_cst_mon_terrorgheist	nag_army_monsters_constructs_azhag	false
			nag_vanilla_cst_mon_necrofex_colossus_0	nag_army_monsters_constructs_azhag	false
			nag_vanilla_vmp_mon_varghulf	nag_army_monsters_constructs_azhag	false
			nag_bone_colossus	nag_army_monsters_constructs_azhag	false
			nag_morghasts	nag_army_nagashizzar_units_azhag	false
			nag_nagashi_guard	nag_army_nagashizzar_units_azhag	false
			nag_nagashi_guard_halb	nag_army_nagashizzar_units_azhag	false
			nag_mortis_engine	nag_army_nagashizzar_units_azhag	false
			nag_bone_golems	nag_army_nagashizzar_units_azhag	false
			nag_sand_crawlies	nag_army_nagashizzar_units_azhag	false
			nag_carrion_riders	nag_army_nagashizzar_units_azhag	false
			nag_vanilla_vmp_inf_cairn_wraiths	nag_army_nagashizzar_units_azhag	false
			nag_vanilla_vmp_cav_hexwraiths	nag_army_nagashizzar_units_azhag	false
			nag_shade_haunts	nag_army_nagashizzar_units_azhag	false
