variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/rhox_nagash							
nag_nagash_husk		nag_nagash_husk		1.0000	1.2000	0.0000	
nag_nagash_revenant		nag_nagash_revenant		1.0000	1.2000	0.0000	
nag_nagash_boss		nag_nagash_boss		1.0000	4.0000	0.0000	
nag_neferata		nag_neferata		1.0000	1.2000	0.0000	
nag_neferata_abyssal		nag_neferata_abyssal		1.0000	1.2000	0.0000	
nag_morghasts		nag_morghasts		1.0000	1.0000	0.0500	
nag_morghasts_archai		nag_morghasts_archai		1.0000	1.1000	0.0500	
nag_nagashi_guard		nag_nagashi_guard		1.0000	1.0000	0.0500	
nag_nagashi_guard_halb		nag_nagashi_guard_halb		1.0000	1.0000	0.0500	
nag_bone_golems		nag_bone_golems		1.0000	0.8000	0.0500	
nagash_hero_barrel		nagash_hero_barrel		1.0000	1.1000	0.0500	
nag_sand_crawlies		nag_sand_crawlies		1.0000	0.4000	0.0500	
nag_warp_ghouls		nag_warp_ghouls		1.0000	0.2500	0.0500	
cr_nag_carrion_mount	VariantMeshes\wh_variantmodels\bi1b\nag\nag_carrion_mount\tech	tmb_carrion		1.0000	0.6500	0.0000	
nag_lon_mortis_sphinx	VariantMeshes\wh_variantmodels\bc1\nag\nag_lon_mortis_sphinx\tech	nag_lon_mortis_sphinx		1.0000	1.0000	0.0500	
nag_giant_spoop		nag_giant_spoop		1.0000	1.0000	0.0000	
nag_abyssal_razarak	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	nag_abyssal_razarak		1.0000	1.6670	0.0000	
nag_abyssal_nagadron	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	nag_abyssal_nagadron		1.0000	1.6670	0.0000	
nag_abyssal_ashigaroth	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	nag_abyssal_ashigaroth		1.0000	1.6670	0.0000	
nag_bone_colossus		nag_bone_colossus		1.0000	1.4000	0.0000	
nag_endless_tomb		nag_endless_tomb		1.0000	1.0000	0.0000	
nag_bombardment_targeting		nag_empty		1.0000	1.0000	0.0000	
nag_empty		nag_empty		1.0000	1.0000	0.0500	
nag_spirit_host_ghost		nag_spirit_host_ghost		1.0000	1.0000	0.0500	
nag_skeletal_cart_horse		nag_skeletal_cart_horse		1.0000	1.0000	0.0500	
nag_virion		nag_virion		1.0000	1.2000	0.0000	
nag_virion_plague_cart_horse		nag_virion_plague_cart_horse		1.0000	1.0000	0.0500	
nag_revenants		nag_revenants		1.0000	1.0000	0.0500	
nag_undead_chariot_unit		nag_chariot_skeleton_spear_shield		1.0000	1.0000	0.0500	
nag_undead_chariot_horse		tmb_skeletal_steed_base		1.0000	1.0000	0.0500	
nag_undead_chariot_unit_archer		nag_chariot_skeleton_archer		1.0000	1.0000	0.0500	
vigpro_nagash_skeleton_orcs		vigpro_grn_orc_big_uns		1.0000	1.1500	0.1000	
vigpro_nagash_skeleton_giant		vigpro_vmp_skeleton_giant		1.0000	1.0000	0.0000	
vigpro_nagash_skeleton_goblin_range		skeleton_goblins_bow		1.0000	1.0000	0.0500	
vigpro_nagash_skeleton_goblin_melee		skeleton_sword_goblin		1.0000	1.0000	0.0500	
vigpro_nagash_skeleton_troll_1h		skeleton_troll_1h		1.0000	0.7500	0.1000	
vigpro_nagash_skeleton_troll_2h		skeleton_troll_2h		1.0000	0.7500	0.1000	
nag_skeleton_reaper		nag_skeleton_reaper		1.0000	1.0000	0.0000	
nag_doomed_legion		nag_doomed_legion		1.0000	1.0000	0.0500	
nag_doomed_legion_officer		nag_doomed_legion_officer		1.0000	1.1000	0.0000	
nag_blood_beasts		nag_blood_beasts		1.0000	1.4000	0.1000	
burning_dead_ror_vmd		burning_dead_dual_axes_ror		1.0000	1.0000	0.0000	
vmp_genevieve		vmp_genevieve		1.0000	1.1500	0.0500	
