key	text	tooltip
#Loc PackedFile	1	text/db/nag_character_skill_node_sets.loc
character_skill_node_sets_enc_title_nag_skill_node_set_nagash_husk	Nagash Skills [PH]	true
character_skill_node_sets_enc_title_nag_skill_node_set_nagash_boss	Nagash Skills [PH]	true
character_skill_node_sets_enc_title_nag_skill_node_set_mortarch_arkhan	Arkhan the Black Skills [PH]	true
character_skill_node_sets_enc_title_nag_skill_node_set_mortarch_krell	Krell Skills [PH]	true
character_skill_node_sets_enc_title_nag_skill_node_set_mortarch_luthor	Luthor Harkon Skills [PH]	true
character_skill_node_sets_enc_title_nag_skill_node_set_mortarch_neferata	Neferata Skills [PH]	true
ncharacter_skill_node_sets_enc_title_ag_skill_node_set_mortarch_mannfred	Mannfred von Carstein Skills [PH]	true
character_skill_node_sets_enc_title_nag_skill_node_set_mortarch_vlad	Vlad von Carstein Skills [PH]	true
character_skill_node_sets_enc_title_nag_skill_node_set_mortarch_isabella	Isabella von Carstein Skills [PH]	true
character_skill_node_sets_enc_title_nag_skill_node_set_traitor_kings	Traitor Kings Skills [PH]	true
