key	text	tooltip
#Loc;1;text/db/nag_character_skills.loc		
character_skills_localised_name_nag_skill_army_buff_ranged	Arrows of Nagashizzar	true
character_skills_localised_description_nag_skill_army_buff_ranged	Asaph may have turned her back on these arrows, but Nagash's hatred is far-reaching.	true
character_skills_localised_name_nag_skill_army_buff_infantry	Dhar-Scorched Bones	true
character_skills_localised_description_nag_skill_army_buff_infantry	It can't possibly be worse than this.	true
character_skills_localised_name_nag_skill_army_buff_cav	Wicked Cavalrymen	true
character_skills_localised_description_nag_skill_army_buff_cav	Once proud charioteers 'live' to pursue and punish more fortunate souls.	true
character_skills_localised_name_nag_skill_army_buff_beasts	Twisted Malevolence	true
character_skills_localised_description_nag_skill_army_buff_beasts	Deadly claws, deadly poisons, or both. 	true
character_skills_localised_name_nag_skill_army_buff_spirit	Ancient Terrors	true
character_skills_localised_description_nag_skill_army_buff_spirit	Shrieking vengeance ages like fine wine, if wine could tear limbs.	true
character_skills_localised_name_nag_skill_army_buff_construct	Corrupted Stone	true
character_skills_localised_description_nag_skill_army_buff_construct	Not even stone is set in stone it seems – arcane death magic is used to bring tortured, savage vigour to once-dormant stone sentinels.	true
character_skills_localised_name_nag_skill_army_buff_vet_vamp	Onslaught of Sylvania	true
character_skills_localised_description_nag_skill_army_buff_vet_vamp	The Vampires of the north may be arrogant fools, but their armies can be swift and violent.	true
character_skills_localised_name_nag_skill_army_buff_vet_nehek	Dark Legions of Nehekhara	true
character_skills_localised_description_nag_skill_army_buff_vet_nehek	The once and ever powerful legions of the valley, from the stalwart pawn to the mighty knight, march and fight as one for the Great Necromancer.	true
character_skills_localised_name_nag_skill_army_buff_vet_coast	Rotten Enforcers	true
character_skills_localised_description_nag_skill_army_buff_vet_coast	Luthor's thralls may not be the most solid-looking bunch, but there is hidden worth even in the soggiest zombie.	true
character_skills_localised_name_nag_skill_army_buff_vet_nagash	Vengeance of Nagashizzar	true
character_skills_localised_description_nag_skill_army_buff_vet_nagash	The long-waiting sentinels of the fortress, bolstered once again by their master, march as the best of his troops.	true
character_skills_localised_name_nag_skill_campaign_movement	The Restless Dead	true
character_skills_localised_description_nag_skill_campaign_movement	A Lord of Undeath's minions do not suffer exhaustion, they can walk for leagues and never suffer.	true
character_skills_localised_name_nag_skill_campaign_corruption	Glory of Nagash	true
character_skills_localised_description_nag_skill_campaign_corruption	Speak these words and watch the landscape around you twist and crack, corrupted by his name alone.	true
character_skills_localised_name_nag_skill_campaign_raiding	Soul Harvester	true
character_skills_localised_description_nag_skill_campaign_raiding	More valuable than gold or jewels, the greatest spoils of war are the lifeforces that own them.	true
character_skills_localised_name_nag_skill_campaign_replenishment	Undying Horde	true
character_skills_localised_description_nag_skill_campaign_replenishment	Once slain in battle, the foe belongs to the Undead Lord, and will rise again, eager to serve.	true
character_skills_localised_name_nag_skill_campaign_growth	Dark Conduit	true
character_skills_localised_description_nag_skill_campaign_growth	The corrupting influence of Dark Magic emanates from this lord like a beacon to all shadowy and otherworldy beings.	true
character_skills_localised_name_nag_skill_campaign_recruit	Endless Undeath	true
character_skills_localised_description_nag_skill_campaign_recruit	All creatures that once were living, then were dead, but now are neither, rise to answer the call of the Lord of Undeath	true
character_skills_localised_name_nag_skill_campaign_attrition	Imperishable	true
character_skills_localised_description_nag_skill_campaign_attrition	By which the Undead armies of Nagash may remain deathless, undying and forever hungry for slaughter.	true
character_skills_localised_name_nag_skill_campaign_loot	All is Mine!	true
character_skills_localised_description_nag_skill_campaign_loot	To the victor, the spoils. All of them. Always.	true
character_skills_localised_name_nag_skill_campaign_ambush	Eternal and Vigilant	true
character_skills_localised_description_nag_skill_campaign_ambush	They stand watch over the land, ever living, ever vigilant waiting for opportunistic agents who dare to strike.	true
character_skills_localised_name_nag_skill_campaign_self_defense	Renowned & Feared	true
character_skills_localised_description_nag_skill_campaign_self_defense	This Lord's many deeds - both on and off the battlefield - have brought them renown among their allies and made them feared by their enemies.	true
character_skills_localised_name_nag_skill_campaign_jolly_roger	Black Flag	true
character_skills_localised_description_nag_skill_campaign_jolly_roger	Beware those who sail under the black flag - they give no quarter and never, ever give up the chase.	true
character_skills_localised_name_nag_skill_campaign_immortal_horror	Immortal Horror	true
character_skills_localised_description_nag_skill_campaign_immortal_horror	Such a beast is all but impossible to destroy - an immortal horror doomed to haunt eternity!	true
character_skills_localised_name_nag_skill_campaign_nagash_big_corruption	Glory to Me!	true
character_skills_localised_description_nag_skill_campaign_nagash_big_corruption	"In that dread desert, beneath the moon's pale gaze, dead men walk. They haunt the shifting dunes of the breathless, windless night, brandish weapons of bronze in mocking challenge and bitter resentment of the life they no longer possess. And sometimes, in ghastly dry voices, like the rustling of sun-baked reeds, they whisper the one word they remember from life. The name of the one who cursed them to their existence, more than death but less than life. They whisper the name, Nagash..."	true
character_skills_localised_name_nag_skill_campaign_nagash_big_raiding	Soul Harvester	true
character_skills_localised_description_nag_skill_campaign_nagash_big_raiding	More valuable than gold or jewels, the greatest spoils of war are the lifeforces that own them.	true
character_skills_localised_name_nag_skill_campaign_nagash_big_replenishment	Undying Horde	true
character_skills_localised_description_nag_skill_campaign_nagash_big_replenishment	Once slain in battle, the foe belongs to the Undead Lord, and will rise again, eager to serve.	true
character_skills_localised_name_nag_skill_campaign_nagash_big_growth	Dark Conduit	true
character_skills_localised_description_nag_skill_campaign_nagash_big_growth	The corrupting influence of Dark Magic emanates from this lord like a beacon to all shadowy and otherworldy beings.	true
character_skills_localised_name_nag_skill_campaign_nagash_big_recruit	Endless Undeath	true
character_skills_localised_description_nag_skill_campaign_nagash_big_recruit	All creatures that once were living, then were dead, but now are neither, rise to answer the call of the Lord of Undeath	true
character_skills_localised_name_nag_skill_campaign_nagash_big_attrition	Imperishable	true
