key	text	tooltip
#Loc PackedFile;1;text/db/nag_effects.loc		
effects_description_nag_effect_horde_growth	Undead Horde growth: %+n	true
effects_description_nag_effect_horde_replenishment	Casualty replenishment rate: %+n%	true
effects_description_nag_effect_patrol_dummy	Defence: Undead Patrols may spawn from this location	false
effects_description_nag_effect_warpstone_token	Warpstone: %+n	false
effects_description_nag_building_effect_cannot_grow_enable	This settlement cannot grow on its own	true
effects_description_nag_building_effect_cannot_grow_disable	Allows the settlement to grow	true
effects_description_nag_effect_landmark_nagash_buff_golems_defence	Melee defence: %+n for Bone Golems	true
effects_description_nag_effect_landmark_nagash_buff_ethereal_magic_res	Magic resistance: %n% for all Ethereal units	true
effects_description_nag_effect_landmark_nagash_buff_morghasts_regen	Ability: "Regeneration" for Morghasts Units	true
effects_description_nag_effect_landmark_nagash_enemy_undead_hex	Enemy Leadership: %+n when fighting against Undead	true
effects_description_nag_effect_landmark_nagash_character_wom_reserves	Winds of Magic power reserve: %+n	true
effects_description_nag_effect_landmark_arkhan_character_melee	Melee attack: %+n for [[img:icon_general]][[/img]]Lords and embedded [[img:icon_hero]][[/img]]Heroes	true
effects_description_nag_effect_landmark_arkhan_character_defence	Melee defence: %+n for [[img:icon_general]][[/img]]Lords and embedded [[img:icon_hero]][[/img]]Heroes	true
effects_description_nag_effect_landmark_arkhan_character_wom_reserves	Winds of Magic power reserve: %+n	true
effects_description_nag_effect_landmark_arkhan_buff_magic_attacks_scorpion	Enables magical attacks for Tomb Scorpion	true
effects_description_nag_effect_landmark_arkhan_buff_magic_attacks_warshpinx	Enables magical attacks for Khemrian Warsphinx	true
effects_description_nag_effect_landmark_manny_character_wom_reserves	Winds of Magic power reserve: %+n	true
effects_description_nag_effect_landmark_manny_spell_cost	Winds of Magic cost: %n% for Lore of Vampires	true
effects_description_nag_effect_landmark_manny_movement	Campaign movement range: %+n%	true
effects_description_nag_effect_landmark_manny_recruit_rank_knights	Recruit rank: %+n for Black Knight units	true
effects_description_nag_effect_landmark_neffy_buff_ushabti_melee	Melee attack: %+n for Ushabti	true
effects_description_nag_effect_landmark_neffy_buff_ushabti_defence	Melee defence: %+n for Ushabti	true
effects_description_nag_effect_landmark_neffy_buff_bats_refuse_to_die	Ability: "Refuse to Die" for Fell Bats [TEMP ABILITY]	true
effects_description_nag_effect_landmark_neffy_horde_replenishment	Casualty replenishment rate: %+n%	true
effects_description_nag_effect_landmark_krell_attrition_immunity	All units in Krell's army are immune to all attrition	true
effects_description_nag_effect_landmark_krell_buff_guard_phys	Physical resistance: %n% for Grave Guard & Nagashizzar Guard Units	true
effects_description_nag_effect_landmark_krell_buff_guard_melee	Melee attack: %+n for for Grave Guard & Nagashizzar Guard Units	true
effects_description_nag_effect_landmark_vlad_guerrilla_deployment	Attribute: Vanguard Deployment for all units	true
effects_description_nag_effect_landmark_vlad_movement	Campaign movement range: %+n%	true
effects_description_nag_effect_landmark_vlad_buff_dags_fatigue_res	Vigour loss reduction: %+n% for Dire Wolves	true
effects_description_nag_effect_landmark_vlad_buff_dags_melee	Melee attack: %+n for Dire Wolves	true
effects_description_nag_effect_landmark_luthor_character_defence	Melee defence: %+n for [[img:icon_general]][[/img]]Lords and embedded [[img:icon_hero]][[/img]]Heroes	true
effects_description_nag_effect_landmark_luthor_magic_resistance	Magic resistance: %n% for all units	true
effects_description_nag_effect_unit_cap_nagashi_guard	Unit capacity: %+n\\nNagashizzar Guard	true
effects_description_nag_effect_unit_cap_nagashi_guard_halb	Unit capacity: %+n\\nNagashizzar Guard (Halberds)	true
effects_description_nag_effect_unit_cap_bone_golems	Unit capacity: %+n\\nBone Golems	true
effects_description_nag_effect_unit_cap_morghasts	Unit capacity: %+n\\nMorghasts	true
effects_description_nag_effect_unit_cap_sand_crawlies	Unit capacity: %+n\\nSand Crawlers	true
effects_description_nag_effect_unit_cap_warp_ghouls	Unit capacity: %+n\\nGlowing Ghouls	true
effects_description_nag_effect_unit_cap_carrion_riders	Unit capacity: %+n\\nCarrion Riders	true
effects_description_nag_effect_unit_cap_mortis_engine	Unit capacity: %+n\\nMortis Engine	true
effects_description_nag_effect_unit_cap_spectre_swarm	Unit capacity: %+n\\nSpectre Swarms	true
effects_description_nag_effect_unit_cap_spirit_hosts	Unit capacity: %+n\\nSpirit Hosts	true
effects_description_nag_effect_unit_cap_bone_thrower	Unit capacity: %+n\\nBone Thrower	true
effects_description_nag_effect_unit_cap_bone_giant_0	Unit capacity: %+n\\nBone Giant	true
effects_description_nag_effect_unit_cap_dire_wolves	Unit capacity: %+n\\nDire Wolves	true
effects_description_nag_effect_unit_cap_fell_bats	Unit capacity: %+n\\nFell Bats	true
effects_description_nag_effect_unit_cap_sepulchral_stalkers_0	Unit capacity: %+n\\nSepulchral Stalkers	true
effects_description_nag_effect_unit_cap_hexwraiths	Unit capacity: %+n\\nHexwraiths	true
effects_description_nag_effect_unit_cap_skeleton_horsemen_0	Unit capacity: %+n\\nSkeleton Horsemen	true
effects_description_nag_effect_unit_cap_skeleton_horsemen_archers_0	Unit capacity: %+n\\nSkeleton Horse Archers	true
effects_description_nag_effect_unit_cap_skeleton_chariot_0	Unit capacity: %+n\\nSkeleton Chariots	true
effects_description_nag_effect_unit_cap_skeleton_archer_chariot_0	Unit capacity: %+n\\nSkeleton Archer Chariots	true
effects_description_nag_effect_unit_cap_necropolis_knights_0	Unit capacity: %+n\\nNecropolis Knights	true
effects_description_nag_effect_unit_cap_necropolis_knights_1	Unit capacity: %+n\\nNecropolis Knights (Halberds)	true
effects_description_nag_effect_unit_cap_screaming_skull_catapult_0	Unit capacity: %+n\\nScreaming Skull Catapults	true
effects_description_nag_effect_unit_cap_casket_of_souls_0	Unit capacity: %+n\\nCasket of Souls	true
effects_description_nag_effect_unit_cap_ushabti_0	Unit capacity: %+n\\nUshabti	true
effects_description_nag_effect_unit_cap_ushabti_1	Unit capacity: %+n\\nUshabti (Great Bow)	true
effects_description_nag_effect_unit_cap_tomb_scorpion_0	Unit capacity: %+n\\nTomb Scorpion	true
effects_description_nag_effect_unit_cap_necrosphinx_0	Unit capacity: %+n\\nNecrosphinx	true
effects_description_nag_effect_unit_cap_nehekhara_horsemen_0	Unit capacity: %+n\\nNehekhara Horsemen	true
effects_description_nag_effect_unit_cap_nehekhara_warriors_0	Unit capacity: %+n\\nNehekhara Warriors	true
effects_description_nag_effect_unit_cap_khemrian_warsphinx_0	Unit capacity: %+n\\nKhemrian Warsphinx	true
effects_description_nag_effect_unit_cap_tomb_guard_0	Unit capacity: %+n\\nTomb Guard	true
effects_description_nag_effect_unit_cap_tomb_guard_1	Unit capacity: %+n\\nTomb Guard (Halberds)	true
