key	text	tooltip
#Loc;1;text/db/nag_incidents.loc		
incidents_localised_title_nag_luthor_madness_4	Restored Mind	true
incidents_localised_description_nag_luthor_madness_4	Ha, Mad? Never, never was, never have been and never will be!"	true
incidents_localised_title_rhox_nagash_uber_husk	Change of mind	false
incidents_localised_description_rhox_nagash_uber_husk	Actually, living as the Husk is not bad at all. Why do I need to reclaim my body when I can smash the enemies in this form?\\n\\nWhy do I need Black Pyramid in the first place? I can make a new one. \\n\\n[[col:red]]Warning: This is a joke event. If you're a new player and don't know what to do, conquer the Black Pyramid of Nagash and hold a ritual there.[[/col]]	false
incidents_localised_title_rhox_nagash_azhag_mortarch	Recruiting Azhag	false
incidents_localised_description_rhox_nagash_azhag_mortarch	You defeated the dirty crown thief. However, frankly speaking, he was a formidable foe. Moreover, he couldn't exploit his full potential because of his stubbornness. While thinking for some time, Nagash decided to make him a Mortarch and even give him a proxy crown to control him.	false
incidents_localised_title_rhox_nagash_mortarch_notify	Ambition of Nagash	false
incidents_localised_description_rhox_nagash_mortarch_notify	Nagash performs a powerful ritual to absorb the souls of other factions and make their leaders his Mortarchs. Adding their armies to his growing forces of the undead.	false
incidents_localised_title_rhox_nagash_declare_war	Ambition of Nagash	false
incidents_localised_description_rhox_nagash_declare_war	Nagash, seeking to expand his dominion, declares war on the other undead faction. His goal is to use his powerful magic to absorb the souls of the defeated leaders and transforms them into his loyal Mortarchs, adding their armies to his unstoppable forces of the undead.	false
incidents_localised_title_rhox_nagash_victory	The Final Step	false
incidents_localised_description_rhox_nagash_victory		false
incidents_localised_title_rhox_nagash_force_vassalised	Dominion of the Dead	false
incidents_localised_description_rhox_nagash_force_vassalised	The Great Necromancer's powers are unmatched, and even the most stalwart undead cannot resist his call. {{CcoCampaignEventIncident:FirstTargetFactionName}} were the latest to fall to Nagash's dark magic, their wills broken by the sheer force of his necromantic power. With a mere thought, Nagash enslaved them to his will, transforming them into loyal vassals of the Grand Necromancer's ever-growing undead empire. As the ranks of the undead swell with each new conquest, the world trembles in fear, wondering which faction will be the next to fall to the unstoppable might of Nagash and his legions of the dead.	false
incidents_localised_title_rhox_nagash_harkon_restoed_incident	Luthor's Mind Restored!	false
incidents_localised_description_rhox_nagash_harkon_restoed_incident	Having long-sought the means to regain his former spellcasting abilities, Luthor’s desire to repair his damaged mind has finally been realised. For years, the mental instabilities caused by his multiple personalities have prevented him from wielding the Winds of Magic, but no more – the Lore of the Deep eludes him no longer!\\n\\nAll shall fear the Pirate King more than they ever have before!	false
incidents_localised_title_rhox_nagash_force_vassalised_coast	Dominion of the Dead	false
incidents_localised_description_rhox_nagash_force_vassalised_coast	The Great Necromancer's powers are unmatched, and even the most stalwart undead cannot resist his call. {{CcoCampaignEventIncident:FirstTargetFactionName}} were the latest to fall to Nagash's dark magic, their wills broken by the sheer force of his necromantic power. With a mere thought, Nagash enslaved them to his will, transforming them into loyal vassals of the Grand Necromancer's ever-growing undead empire. As the ranks of the undead swell with each new conquest, the world trembles in fear, wondering which faction will be the next to fall to the unstoppable might of Nagash and his legions of the dead.	false
incidents_localised_title_rhox_nagash_force_vassalised_tk	Dominion of the Dead	false
incidents_localised_description_rhox_nagash_force_vassalised_tk	The Great Necromancer's powers are unmatched, and even the most stalwart undead cannot resist his call. {{CcoCampaignEventIncident:FirstTargetFactionName}} were the latest to fall to Nagash's dark magic, their wills broken by the sheer force of his necromantic power. With a mere thought, Nagash enslaved them to his will, transforming them into loyal vassals of the Grand Necromancer's ever-growing undead empire. As the ranks of the undead swell with each new conquest, the world trembles in fear, wondering which faction will be the next to fall to the unstoppable might of Nagash and his legions of the dead.	false
incidents_localised_title_rhox_nagash_force_vassalised_jv	Dominion of the Dead	false
