key	text	tooltip
#Loc;1;text/db/nag_land_unit_concealed_name.loc		
land_units_concealed_name_nag_cha_tomb_king_0	Traitor King	false
land_units_concealed_name_nag_cha_tomb_king_1	Traitor King	false
land_units_concealed_name_nag_cha_tomb_king_2	Traitor King	false
land_units_concealed_name_nag_cha_tomb_king_3	Traitor King	false
land_units_concealed_name_nag_cha_tomb_prince_0	Tomb Prince	false
land_units_concealed_name_nag_cha_tomb_prince_1	Tomb Prince	false
land_units_concealed_name_nag_cha_tomb_prince_2	Tomb Prince	false
land_units_concealed_name_nag_cha_liche_priest_death_0	Liche Priest (Death)	false
land_units_concealed_name_nag_cha_liche_priest_death_1	Liche Priest (Death)	false
land_units_concealed_name_nag_cha_liche_priest_light_0	Liche Priest (Light)	false
land_units_concealed_name_nag_cha_liche_priest_light_1	Liche Priest (Light)	false
land_units_concealed_name_nag_cha_liche_priest_nehekhara_0	Liche Priest (Nehekhara)	false
land_units_concealed_name_nag_cha_liche_priest_nehekhara_1	Liche Priest (Nehekhara)	false
land_units_concealed_name_nag_cha_liche_priest_shadow_0	Liche Priest (Shadows)	false
land_units_concealed_name_nag_cha_liche_priest_shadow_1	Liche Priest (Shadows)	false
land_units_concealed_name_nag_cha_liche_priest_undeath_0	Liche Priest (Undeath)	false
land_units_concealed_name_nag_cha_liche_priest_undeath_1	Liche Priest (Undeath)	false
land_units_concealed_name_nag_vanilla_tmb_inf_skeleton_archers_0	Skeleton Archers	false
land_units_concealed_name_nag_vanilla_tmb_inf_skeleton_spearmen_0	Skeleton Spearmen	false
land_units_concealed_name_nag_vanilla_tmb_inf_skeleton_warriors_0	Skeleton Warriors	false
land_units_concealed_name_nag_vanilla_tmb_inf_nehekhara_warriors_0	Nehekhara Warriors	false
land_units_concealed_name_nag_vanilla_tmb_inf_tomb_guard_0	Tomb Guard	false
land_units_concealed_name_nag_vanilla_tmb_inf_tomb_guard_1	Tomb Guard (Halberds)	false
land_units_concealed_name_nag_vanilla_tmb_cav_skeleton_horsemen_0	Skeleton Horsemen	false
land_units_concealed_name_nag_vanilla_tmb_cav_skeleton_horsemen_archers_0	Skeleton Horse Archers	false
land_units_concealed_name_nag_vanilla_tmb_cav_nehekhara_horsemen_0	Nehekhara Horsemen	false
land_units_concealed_name_nag_vanilla_tmb_cav_necropolis_knights_0	Necropolis Knights	false
land_units_concealed_name_nag_vanilla_tmb_cav_necropolis_knights_1	Necropolis Knights (Halberds)	false
land_units_concealed_name_nag_vanilla_tmb_veh_skeleton_archer_chariot_0	Skeleton Archer Chariots	false
land_units_concealed_name_nag_vanilla_tmb_veh_skeleton_chariot_0	Skeleton Chariots	false
land_units_concealed_name_nag_vanilla_tmb_mon_ushabti_0	Ushabti	false
land_units_concealed_name_nag_vanilla_tmb_mon_ushabti_1	Ushabti (Great Bow)	false
land_units_concealed_name_nag_vanilla_tmb_mon_sepulchral_stalkers_0	Sepulchral Stalkers	false
land_units_concealed_name_nag_vanilla_tmb_mon_tomb_scorpion_0	Tomb Scorpion	false
land_units_concealed_name_nag_vanilla_tmb_mon_khemrian_warsphinx_0	Khemrian Warsphinx	false
land_units_concealed_name_nag_vanilla_tmb_mon_necrosphinx_0	Necrosphinx	false
land_units_concealed_name_nag_vanilla_tmb_mon_bone_giant_0	Bone Giant	false
land_units_concealed_name_nag_vanilla_tmb_art_screaming_skull_catapult_0	Screaming Skull Catapults	false
land_units_concealed_name_nag_vanilla_tmb_art_casket_of_souls_0	Casket of Souls	false
land_units_concealed_name_nag_vanilla_vmp_inf_zombie	Zombies	false
land_units_concealed_name_nag_vanilla_vmp_inf_skeleton_warriors_0	Skeleton Warriors	false
land_units_concealed_name_nag_vanilla_vmp_inf_skeleton_warriors_1	Skeleton Spearmen	false
land_units_concealed_name_nag_vanilla_vmp_inf_crypt_ghouls	Crypt Ghouls	false
land_units_concealed_name_nag_vanilla_vmp_inf_cairn_wraiths	Cairn Wraiths	false
land_units_concealed_name_nag_vanilla_vmp_inf_grave_guard_0	Grave Guard	false
land_units_concealed_name_nag_vanilla_vmp_inf_grave_guard_1	Grave Guard (Great Weapons)	false
land_units_concealed_name_nag_vanilla_vmp_cav_black_knights_0	Black Knights	false
land_units_concealed_name_nag_vanilla_vmp_cav_black_knights_3	Black Knights (Lances & Barding)	false
land_units_concealed_name_nag_vanilla_vmp_cav_hexwraiths	Hexwraiths	false
land_units_concealed_name_nag_vanilla_vmp_cav_blood_knights_0	Blood Knights	false
land_units_concealed_name_nag_vanilla_vmp_veh_corpse_cart_1	Corpse Cart (Balefire)	false
land_units_concealed_name_nag_vanilla_vmp_veh_corpse_cart_2	Corpse Cart (Unholy Lodestone)	false
land_units_concealed_name_nag_vanilla_vmp_mon_dire_wolves	Dire Wolves	false
land_units_concealed_name_nag_vanilla_vmp_mon_fell_bats	Fell Bats	false
land_units_concealed_name_nag_vanilla_vmp_mon_vargheists	Vargheists	false
land_units_concealed_name_nag_vanilla_cst_inf_zombie_deckhands_mob_0	Zombie Pirate Deckhands Mob	false
land_units_concealed_name_nag_vanilla_cst_inf_zombie_deckhands_mob_1	Zombie Pirate Deckhands Mob (Polearms)	false
land_units_concealed_name_nag_vanilla_cst_inf_zombie_gunnery_mob_0	Zombie Pirate Gunnery Mob	false
land_units_concealed_name_nag_vanilla_cst_inf_zombie_gunnery_mob_1	Zombie Pirate Gunnery Mob (Handguns)	false
land_units_concealed_name_nag_vanilla_cst_inf_deck_gunners_0	Deck Gunners	false
land_units_concealed_name_nag_vanilla_cst_inf_depth_guard_0	Depth Guard	false
land_units_concealed_name_nag_vanilla_cst_mon_bloated_corpse_0	Bloated Corpse	false
land_units_concealed_name_nag_vanilla_cst_mon_terrorgheist	Death Shriek Terrorgheist	false
land_units_concealed_name_nag_nagash_husk	Nagash, Lord of the Undead	false
land_units_concealed_name_nag_nagash_revenant	Nagash, level 30 scoundrel	false
land_units_concealed_name_nag_nagash_boss	Nagash, Supreme Lord of Undeath	false
land_units_concealed_name_nag_mortarch_neferata	Neferata, Mortarch of Blood	false
land_units_concealed_name_nag_mortarch_neferata_warhorse	Neferata, Mortarch of Blood	false
land_units_concealed_name_nag_mortarch_neferata_abyssal	Neferata, Mortarch of Blood	false
land_units_concealed_name_nag_mortarch_krell	Krell, Mortarch of Despair	false
land_units_concealed_name_nag_mortarch_vlad	Vlad von Carstein, Mortarch of Shadow	false
land_units_concealed_name_nag_mortarch_mannfred	Mannfred von Carstein, Mortarch of Night	false
