key	text	tooltip
#Loc;1;text/db/nag_land_units.loc		
land_units_onscreen_name_nag_nagash_husk	Nagash, Lord of the Undead	true
land_units_onscreen_name_nag_nagash_boss	Nagash, Supreme Lord of Undeath	true
land_units_onscreen_name_nag_morghasts	Morghasts	true
land_units_onscreen_name_nag_morghasts_archai	Morghast Archai	true
land_units_onscreen_name_nag_nagashi_guard	Nagashizzar Guard	true
land_units_onscreen_name_nag_nagashi_guard_halb	Nagashizzar Guard (Halberds)	true
land_units_onscreen_name_nag_mortis_engine	Mortis Engine	true
land_units_onscreen_name_nag_bone_thrower	Bone Thrower	true
land_units_onscreen_name_nag_bone_golems	Bone Golems	true
land_units_onscreen_name_nag_inf_zombie_construct	Zombies	true
land_units_onscreen_name_nag_inf_skeleton_warriors_endless_tomb_summoned	Skeleton Warriors	true
land_units_onscreen_name_nag_inf_crypt_ghouls_construct	Crypt Ghouls	true
land_units_onscreen_name_nag_mon_crypt_horrors_construct	Crypt Horrors	true
land_units_onscreen_name_nag_cav_hexwraiths_0_summon	Hexwraiths	true
land_units_onscreen_name_nag_cav_black_knights_0_summon	Black Knights	true
land_units_onscreen_name_nag_hero_team_summon	Triad of Kandorak	true
land_units_onscreen_name_nag_hero_warsphinx_summon	Steed of Kandorak	true
land_units_onscreen_name_nag_sand_crawlies	Sand Crawlers	true
land_units_onscreen_name_nag_warp_ghouls	Glowing Ghouls	true
land_units_onscreen_name_nag_carrion_riders	Carrion Riders	true
land_units_onscreen_name_nag_giant_spoop	Terrorfex CURRENTLY ABANDONED	true
land_units_onscreen_name_nag_mortarch_kalledria	Kalledria, Mortarch of Sorrows	true
land_units_onscreen_name_nag_mortarch_krell	Krell, Mortarch of Despair	true
land_units_onscreen_name_nag_mortarch_neferata	Neferata, Mortarch of Blood	true
land_units_onscreen_name_nag_mortarch_neferata_warhorse	Neferata, Mortarch of Blood	true
land_units_onscreen_name_nag_mortarch_neferata_abyssal	Neferata, Mortarch of Blood	true
land_units_onscreen_name_nag_mortarch_vlad	Vlad, Mortarch of Shadow	true
land_units_onscreen_name_nag_mortarch_isabella	Isabella von Carstein	true
land_units_onscreen_name_nag_mortarch_isabella_hellsteed	Isabella von Carstein	true
land_units_onscreen_name_nag_mortarch_isabella_warhorse	Isabella von Carstein	true
land_units_onscreen_name_nag_mortarch_mannfred	Mannfred, Mortarch of Night	true
land_units_onscreen_name_nag_mortarch_mannfred_warhorse	Mannfred, Mortarch of Night	true
land_units_onscreen_name_nag_mortarch_mannfred_abyssal	Mannfred, Mortarch of Night	true
land_units_onscreen_name_nag_mortarch_luthor	Luthor, Mortarch of the Abyss	true
land_units_onscreen_name_nag_mortarch_luthor_terrorgheist	Luthor, Mortarch of the Abyss	true
land_units_onscreen_name_nag_mortarch_arkhan	Arkhan, Mortarch of Sacrament	true
land_units_onscreen_name_nag_mortarch_arkhan_warhorse	Arkhan, Mortarch of Sacrament	true
land_units_onscreen_name_nag_mortarch_arkhan_chariot	Arkhan, Mortarch of Sacrament	true
land_units_onscreen_name_nag_mortarch_arkhan_abyssal	Arkhan, Mortarch of Sacrament	true
land_units_onscreen_name_nag_bone_colossus	Bone Colossus	true
land_units_onscreen_name_nag_endless_tomb	Endless Tomb	true
land_units_onscreen_name_nag_shade_haunts	Shade Haunts	true
land_units_onscreen_name_nag_spectre_swarm	Fell Spectres	true
land_units_onscreen_name_nag_spirit_hosts	Spirit Hosts	true
land_units_onscreen_name_nag_virion_plaguecart	Virion the Grim	true
land_units_onscreen_name_nag_revenants	Revenants of Mourkain	true
land_units_onscreen_name_nag_undead_chariot_unit	Undead Chariots	true
land_units_onscreen_name_nag_bombardment_targeting		false
land_units_onscreen_name_vigpro_nagash_skeleton_orcs	Skeleton Orcs	true
land_units_onscreen_name_vigpro_nagash_skeleton_giant	Skeleton Giant	true
land_units_onscreen_name_vigpro_nagash_skeleton_goblin_range	Skeleton Goblin Archers	true
land_units_onscreen_name_vigpro_nagash_skeleton_goblin_melee	Skeleton Goblins	true
land_units_onscreen_name_vigpro_nagash_skeleton_troll_1h	Skeleton Trolls	true
land_units_onscreen_name_vigpro_nagash_skeleton_troll_2h	Skeleton Trolls (Great Weapons)	true
land_units_onscreen_name_nag_skeleton_reaper	Skeleton Reapers	true
land_units_onscreen_name_nag_lahmia_neferata	Neferata, Queen of the Lahmians	true
land_units_onscreen_name_nag_tomb_banshee	Tomb Banshee	true
land_units_onscreen_name_nag_doomed_legion	Doomed Legion	true
land_units_onscreen_name_nag_blood_beasts	Blood Beasts	true
land_units_onscreen_name_nag_thrall_crossbowmen	Thrall Crossbowmen	true
land_units_onscreen_name_nag_thrall_handgunners	Thrall Handgunners	true
land_units_onscreen_name_nag_burning_dead	The Burning Dead	true
land_units_onscreen_name_nag_guinevere	Geneviève Dieudonné	true
land_units_onscreen_name_nag_guinevere_warhorse	Geneviève Dieudonné	true
land_units_concealed_name_nag_lahmia_neferata_warhorse	Neferata, Queen of the Lahmians	true
land_units_onscreen_name_nag_lahmia_neferata_warhorse	Neferata, Queen of the Lahmians	true
land_units_concealed_name_nag_lahmia_neferata_hellsteed	Neferata, Queen of the Lahmians	true
land_units_onscreen_name_nag_lahmia_neferata_hellsteed	Neferata, Queen of the Lahmians	true
land_units_onscreen_name_nag_throne_guard	Throne Guard 	true
land_units_onscreen_name_nag_nagashi_knights	Nagashizzar Knights	true
land_units_onscreen_name_nag_doom_knights	Doom Riders	true
land_units_onscreen_name_nag_druthor	Druthor, The King of Grimbarrow	true
land_units_onscreen_name_nag_vmp_kalledria	Kalledria, Queen of Sorrows	false
land_units_concealed_name_nag_syreen_kalledria_1		false
land_units_onscreen_name_nag_syreen_kalledria_1	PLACEHOLDER	false
land_units_concealed_name_nag_syreen_kalledria_2		false
land_units_onscreen_name_nag_syreen_kalledria_2	PLACEHOLDER	false
land_units_concealed_name_nag_syreen_kalledria_3		false
land_units_onscreen_name_nag_syreen_kalledria_3	PLACEHOLDER	false
land_units_concealed_name_nag_syreen_kalledria_4		false
land_units_onscreen_name_nag_syreen_kalledria_4	PLACEHOLDER	false
