key	text	tooltip
#Loc PackedFile;1;text/db/nag_missions.loc		
missions_localised_title_nagash_intro_1	Cut off the Skaven (Nagash Rising)	true
missions_localised_description_nagash_intro_1	Exterminate nearby skaven pack.	true
missions_localised_title_nagash_intro_2	Secure the Mines (Nagash Rising)	true
missions_localised_description_nagash_intro_2	Upgrade your warpstone mine, as warpstone is power.	true
missions_localised_title_nagash_intro_3	Gather Your Legion (Nagash Rising)	true
missions_localised_description_nagash_intro_3	Expand your army so it is worthy of your power.	true
missions_localised_title_nagash_intro_4	Finalize Foothold (Nagash Rising)	true
missions_localised_description_nagash_intro_4	Cleanse Desolation of Nagash of those annoying vermin.	true
missions_localised_title_nagash_intro_5	Begin the Trek (Nagash Rising)	true
missions_localised_description_nagash_intro_5	Use tunnels to meet up with Arkhan, your loyal follower.	true
missions_localised_title_nag_nagash_capture_settlement_black_pyramid	Capture the Black Pyramid (Nagash Rising)	true
missions_localised_description_nag_nagash_capture_settlement_black_pyramid	March on the Black Pyramid, restore your true power and enact vengence on this weak world of the living.	true
missions_localised_title_nag_nagash_capture_settlement_khemri	Khemri the City of Kings	true
missions_localised_description_nag_nagash_capture_settlement_khemri	"Supreme Lord, the Black Pyarmid is yours, as it always has been, but we must move towards our goal of completing the Great Ritual, take the city of Khemri."\\n\\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	true
missions_localised_title_nag_nagash_capture_settlement_mourkain	Morgheim, the Place of Death	true
missions_localised_description_nag_nagash_capture_settlement_mourkain	"Supreme Lord, the city of Morgheim will be of great value to us, restore the home of the cult of Nagash to it's former glory, long live Morgheim."\\n\\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	true
missions_localised_title_nag_nagash_capture_settlement_drakenhof	Castle Drakenhof, the Accursed Citadel	true
missions_localised_description_nag_nagash_capture_settlement_drakenhof	"Supreme and masterful Lord of the dead, Mannfred Von Carstein sits in his accursed citedal, both he and his holding would make for a great prize, take Castle Draknehof."\\n\\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	true
missions_localised_title_nag_nagash_capture_settlement_lahmia	Lahmia the City of the Dawn	true
missions_localised_description_nag_nagash_capture_settlement_lahmia	"Supreme Lord, your loyal servant Neferata has a singular goal retake the city of Lahmia, do this, restore the cult of blood and bring her unwavering focus towards your own plans."\\n\\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	true
missions_localised_title_nag_nagash_capture_settlement_quintex	Quintex, the Ancient City	true
missions_localised_description_nag_nagash_capture_settlement_quintex	"My gracious Lord, in one of Luthors mad ramblings he mentioned a place of great power that will surely progress our completion of the Great Ritual, journey to the Titan Peaks, take the city of Quintex."\\n\\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	true
missions_localised_title_nag_mortarch_luthor_unlock	Mortarch of the Abyss	true
missions_localised_description_nag_mortarch_luthor_unlock	"My sire, we have recieved a cryptic message from the port city of The Awakeing, we believe their leader Luthor Harkon would like to meet with you."\\n\\nLearn more about settlements [[url:script_link_campaign_settlements]][[tooltip:{{tt:tooltip_campaign_settlements}}]][[col:help_page_link]]here[[/col]][[/tooltip]][[/url]].	true
missions_localised_title_nag_mortarch_neferata_unlock	Mortarch of Blood	true
missions_localised_description_nag_mortarch_neferata_unlock	Lahmia is Neferata's birth right, and it has been wrestled from her fair hands for too long. This shall not stand any longer.	true
missions_localised_title_nag_mortarch_krell_unlock	Mortarch of Despair	true
missions_localised_description_nag_mortarch_krell_unlock	After witnessing all that blood and massacre you inflicted unpont the world, Krell is willing to join your side.	true
missions_localised_title_nag_mortarch_vlad_unlock	The Carstein Ring	true
missions_localised_description_nag_mortarch_vlad_unlock	Vlad would risk anything, even eternal servitude under an unjust tyrant, in order to bring back his beloved Isabella.	true
missions_localised_title_nag_mortarch_mannfred_unlock	Mortarch of Night	true
missions_localised_description_nag_mortarch_mannfred_unlock	Sylvania has long been Mannfred's domain, and he will let nobody else take it from him. Not even his sire.	true
missions_localised_title_nag_mortarch_arkhan_event_1	[PH] arkhan event 1	true
missions_localised_description_nag_mortarch_arkhan_event_1	[PH]	true
missions_localised_title_nag_mortarch_arkhan_event_2	[PH] arkhan event 2	true
missions_localised_description_nag_mortarch_arkhan_event_2	[PH]	true
missions_localised_title_nag_mortarch_arkhan_event_3	[PH] arkhan event 3	true
missions_localised_description_nag_mortarch_arkhan_event_3	[PH]	true
missions_localised_title_nag_mortarch_luthor_event_1	[PH] missions_localised_title_nag_mortarch_luthor_event_1	true
missions_localised_description_nag_mortarch_luthor_event_1	[PH]	true
missions_localised_title_nag_mortarch_luthor_event_2	[PH] missions_localised_title_nag_mortarch_luthor_event_2	true
missions_localised_description_nag_mortarch_luthor_event_2	[PH]	true
missions_localised_title_nag_mortarch_luthor_event_3	[PH] missions_localised_title_nag_mortarch_luthor_event_3	true
missions_localised_description_nag_mortarch_luthor_event_3	[PH]	true
missions_localised_title_nag_mortarch_mannfred_event_1	[PH] missions_localised_title_nag_mortarch_mannfred_event_1	true
missions_localised_description_nag_mortarch_mannfred_event_1	[PH]	true
missions_localised_title_nag_mortarch_mannfred_event_2	[PH] missions_localised_title_nag_mortarch_mannfred_event_2	true
missions_localised_description_nag_mortarch_mannfred_event_2	[PH]	true
missions_localised_title_nag_mortarch_mannfred_event_3	[PH] missions_localised_title_nag_mortarch_mannfred_event_3	true
missions_localised_description_nag_mortarch_mannfred_event_3	[PH]	true
missions_localised_title_nag_mortarch_krell_event_1	[PH] missions_localised_title_nag_mortarch_krell_event_1	true
missions_localised_description_nag_mortarch_krell_event_1	[PH]	true
missions_localised_title_nag_mortarch_krell_event_2	[PH] missions_localised_title_nag_mortarch_krell_event_2	true
missions_localised_description_nag_mortarch_krell_event_2	[PH]	true
missions_localised_title_nag_mortarch_krell_event_3	[PH] missions_localised_title_nag_mortarch_krell_event_3	true
missions_localised_description_nag_mortarch_krell_event_3	[PH]	true
missions_localised_title_nag_mortarch_neferata_event_1	[PH] missions_localised_title_nag_mortarch_neferata_event_1	true
missions_localised_description_nag_mortarch_neferata_event_1	[PH]	true
missions_localised_title_nag_mortarch_neferata_event_2	[PH] missions_localised_title_nag_mortarch_neferata_event_2	true
missions_localised_description_nag_mortarch_neferata_event_2	[PH]	true
missions_localised_title_nag_mortarch_neferata_event_3	[PH] missions_localised_title_nag_mortarch_neferata_event_3	true
missions_localised_description_nag_mortarch_neferata_event_3	[PH]	true
missions_localised_title_nag_mortarch_vlad_event_1	[PH] missions_localised_title_nag_mortarch_vlad_event_1	true
missions_localised_description_nag_mortarch_vlad_event_1	[PH]	true
missions_localised_title_nag_mortarch_vlad_event_2	[PH] missions_localised_title_nag_mortarch_vlad_event_2	true
missions_localised_description_nag_mortarch_vlad_event_2	[PH]	true
missions_localised_title_nag_mortarch_vlad_event_3	[PH] missions_localised_title_nag_mortarch_vlad_event_3	true
missions_localised_description_nag_mortarch_vlad_event_3	[PH]	true
missions_localised_title_nag_bp_raise	Raise the Black Pyramid (Nagash Rising)	true
missions_localised_description_nag_bp_raise	Cast your eyes to your original home - empower the Black Pyramid, return it to the skies, and regain your ancient power!\\n\\n[[col:red]]NOTE: This will begin a series of battles as others try to stop you from raising 	true
missions_localised_title_nag_bp_survive	Survive the Onslaught (Nagash Rising)	true
missions_localised_description_nag_bp_survive	Others come to stop your ritual to empower the Black Pyramid - hold them back!	true
missions_localised_title_nag_waprstone_mines	Capture warpstone mines	true
missions_localised_description_nag_waprstone_mines	You need more warpstone and warpstone mines can be found in these settlements.	true
missions_localised_title_nag_endgame_capture	Nagash Endgame	true
missions_localised_description_nag_endgame_capture	These settlements are required for Nagash ascension to godhood.	true
