key	text	tooltip
#Loc;1;text/db/nag_unit_abilities__.loc		
unit_abilities_tooltip_text_wh_main_spell_nagash_dark_riders	At the wizard's command, the ground opens up to reveal a portal through which long-dead knights ride forth to do battle.	true
unit_abilities_onscreen_name_wh_main_spell_nagash_dark_riders	The Dark Riders	true
unit_abilities_tooltip_text_wh_main_spell_nagash_dark_riders_upgraded	At the wizard's command, the ground opens up to reveal a portal through which long-dead knights ride forth to do battle.	true
unit_abilities_onscreen_name_wh_main_spell_nagash_dark_riders_upgraded	The Dark Riders Upgraded	true
unit_abilities_tooltip_text_wh_main_spell_nagash_hand_of_dust	Grasping hold of his foe, the wizard pours forth the decaying power of ages, desiccating flesh, armour and bone, and reducing his victim to dust in a single heartbeat.	true
unit_abilities_onscreen_name_wh_main_spell_nagash_hand_of_dust	The Hand of Dust	true
unit_abilities_tooltip_text_wh_main_spell_nagash_hand_of_dust_upgraded	Grasping hold of his foe, the wizard pours forth the decaying power of ages, desiccating flesh, armour and bone, and reducing his victim to dust in a single heartbeat.	true
unit_abilities_onscreen_name_wh_main_spell_nagash_hand_of_dust_upgraded	The Hand of Dust Upgraded	true
unit_abilities_tooltip_text_wh_main_spell_nagash_harbinger	The greatest practitioners of the dark arts can summon forth the most fearsome champions and creatures of undeath.	true
unit_abilities_onscreen_name_wh_main_spell_nagash_harbinger	The Harbinger	true
unit_abilities_tooltip_text_wh_main_spell_nagash_harbinger_upgraded	The greatest practitioners of the dark arts can summon forth the most fearsome champions and creatures of undeath.	true
unit_abilities_onscreen_name_wh_main_spell_nagash_harbinger_upgraded	The Harbinger Upgraded	true
unit_abilities_tooltip_text_wh_main_spell_nagash_grave_call_hidden_dummy	Grave Call (01) [PH]	true
unit_abilities_onscreen_name_wh_main_spell_nagash_grave_call_hidden_dummy	Grave Call (01) [PH]	true
unit_abilities_tooltip_text_wh_main_spell_nagash_grave_call_secondary_hidden_01	Grave Call (01) [PH]	true
unit_abilities_onscreen_name_wh_main_spell_nagash_grave_call_secondary_hidden_01	Grave Call (01) [PH]	true
unit_abilities_tooltip_text_wh_main_spell_nagash_grave_call_secondary_hidden_02	Grave Call (02) [PH]	true
unit_abilities_onscreen_name_wh_main_spell_nagash_grave_call_secondary_hidden_02	Grave Call (02) [PH]	true
