Loc PackedFile	1
key	text	tooltip
units_custom_battle_mounts_mount_name_nag_mortarch_mannfrednag_mortarch_mannfred_warhorse	Barded Nightmare	true
units_custom_battle_mounts_localised_description_nag_mortarch_mannfrednag_mortarch_mannfred_warhorse	Covered in heavy barding and spikes, to tear the flesh of their foes.	true
units_custom_battle_mounts_mount_name_nag_mortarch_luthornag_mortarch_luthor_terrorgheist	Death Shriek Terrorgheist	true
units_custom_battle_mounts_localised_description_nag_mortarch_luthornag_mortarch_luthor_terrorgheist	Harkon's personal mount is a dreadful thing indeed - a Terrorgheist with a piercing, banshee-like shriek that has the power to stun any who hear it.	true
units_custom_battle_mounts_mount_name_nag_mortarch_arkhannag_mortarch_arkhan_warhorse	Skeletal Steed	true
units_custom_battle_mounts_localised_description_nag_mortarch_arkhannag_mortarch_arkhan_warhorse	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	true
units_custom_battle_mounts_mount_name_nag_mortarch_arkhannag_mortarch_arkhan_chariot	Skeleton Chariot	true
units_custom_battle_mounts_localised_description_nag_mortarch_arkhannag_mortarch_arkhan_chariot	Arkhan’s winged chariot moves with supernatural speed as he scours the world in search of the enchanted items that will hasten the Great Necromancer’s return.	true
units_custom_battle_mounts_mount_name_nag_mortarch_arkhannag_mortarch_arkhan_abyssal	Razark, the Doom of Traitors	true
units_custom_battle_mounts_localised_description_nag_mortarch_arkhannag_mortarch_arkhan_abyssal	The Dread Abyssal ridden by Arkhan the Black was known to myth as Razark, the Doom of Traitors.	true
units_custom_battle_mounts_mount_name_nag_mortarch_mannfrednag_mortarch_mannfred_abyssal	Ashigaroth, Gourger Upon the Meek	true
units_custom_battle_mounts_localised_description_nag_mortarch_mannfrednag_mortarch_mannfred_abyssal	The dread abyssal ridden by Mannfred von Carstein was known to myth as Ashigaroth.	true
units_custom_battle_mounts_mount_name_nag_mortarch_neferatanag_mortarch_neferata_abyssal	Nagadron, The Adevore	true
units_custom_battle_mounts_localised_description_nag_mortarch_neferatanag_mortarch_neferata_abyssal	The dread abyssal ridden by Neferata was known to myth as Nagadron.	true
units_custom_battle_mounts_mount_name_nag_mortarch_neferatanag_mortarch_neferata_warhorse	Barded Nightmare	true
units_custom_battle_mounts_localised_nag_mortarch_neferatanag_mortarch_neferata_warhorse	Covered in heavy barding and spikes, to tear the flesh of their foes.	true
